"Freq [GHz]","dB(S(waveport1:1,antenna)) []"
0.96068,-49.8493081601942
0.9681775,-49.784748585525
0.975675,-49.7207298716636
0.9831725,-49.6572439810055
0.99067,-49.5942830575382
0.9981675,-49.5318394213653
1.005665,-49.4699055634352
1.0131625,-49.4084741404664
1.02066,-49.3475379700588
1.0281575,-49.287090025986
1.035655,-49.2271234336566
1.0431525,-49.1676314657414
1.05065,-49.1086075379558
1.0581475,-49.0500452049934
1.065645,-48.9919381566026
1.0731425,-48.9342802138013
1.08064,-48.8770653252234
1.0881375,-48.8202875635919
1.095635,-48.763941122313
1.1031325,-48.7080203121863
1.11063,-48.6525195582277
1.1181275,-48.5974333965976
1.125625,-48.5427564716334
1.1331225,-48.4884835329798
1.14062,-48.4346094328139
1.1481175,-48.3811291231619
1.155615,-48.3280376533029
1.1631125,-48.2753301672563
1.17061,-48.2230019013508
1.1781075,-48.171048181871
1.185605,-48.1194644227784
1.1931025,-48.0682461235043
1.2006,-48.0173888668128
1.2080975,-47.9668883167292
1.215595,-47.9167402165338
1.2230925,-47.8669403868161
1.23059,-47.8174847235902
1.2380875,-47.7683691964663
1.245585,-47.7195898468776
1.2530825,-47.6711427863613
1.26058,-47.62302419489
1.2680775,-47.5752303192535
1.275575,-47.5277574714877
1.2830725,-47.4806020273498
1.29057,-47.4337604248384
1.2980675,-47.3872291627561
1.305565,-47.3410047993138
1.3130625,-47.2950839507746
1.32056,-47.2494632901371
1.3280575,-47.2041395458556
1.335555,-47.1591095005961
1.3430525,-47.1143699900279
1.35055,-47.0699179016483
1.3580475,-47.0257501736403
1.365545,-46.9818637937612
1.3730425,-46.9382557982627
1.38054,-46.894923270839
1.3880375,-46.8518633416052
1.395535,-46.8090731861014
1.4030325,-46.7665500243251
1.41053,-46.7242911197887
1.4180275,-46.6822937786015
1.425525,-46.6405553485773
1.4330225,-46.5990732183641
1.44052,-46.5578448165975
1.4480175,-46.5168676110752
1.455515,-46.4761391079538
1.4630125,-46.4356568509657
1.47051,-46.3954184206559
1.4780075,-46.3554214336386
1.485505,-46.3156635418724
1.4930025,-46.2761424319542
1.5005,-46.2368558244297
1.5079975,-46.1978014731227
1.515495,-46.1589771644794
1.5229925,-46.12038071693
1.53049,-46.0820099802656
1.5379875,-46.0438628350305
1.545485,-46.0059371919286
1.5529825,-45.9682309912454
1.56048,-45.9307422022826
1.5679775,-45.8934688228072
1.575475,-45.8564088785131
1.5829725,-45.819560422496
1.59047,-45.7829215347404
1.5979675,-45.7464903216185
1.605465,-45.7102649154011
1.6129625,-45.6742434737798
1.62046,-45.6384241794003
1.6279575,-45.6028052394062
1.635455,-45.5673848849936
1.6429525,-45.5321613709754
1.65045,-45.4971329753565
1.6579475,-45.462297998917
1.665445,-45.4276547648062
1.6729425,-45.3932016181452
1.68044,-45.358936925638
1.6879375,-45.3248590751916
1.695435,-45.2909664755446
1.7029325,-45.2572575559036
1.71043,-45.2237307655879
1.7179275,-45.1903845736812
1.725425,-45.1572174686923
1.7329225,-45.1242279582214
1.74042,-45.0914145686345
1.7479175,-45.058775844745
1.755415,-45.0263103495014
1.7629125,-44.9940166636818
1.77041,-44.961893385595
1.7779075,-44.9299391307879
1.785405,-44.8981525317588
1.7929025,-44.8665322376766
1.8004,-44.8350769141061
1.8078975,-44.8037852427388
1.815395,-44.7726559211292
1.8228925,-44.7416876624364
1.83039,-44.7108791951712
1.8378875,-44.6802292629477
1.845385,-44.649736624241
1.8528825,-44.6194000521487
1.86038,-44.5892183341574
1.8678775,-44.5591902719144
1.875375,-44.529314681003
1.8828725,-44.4995903907232
1.89037,-44.4700162438756
1.8978675,-44.4405910965506
1.905365,-44.4113138179212
1.9128625,-44.3821832900392
1.92036,-44.3531984076365
1.9278575,-44.3243580779296
1.935355,-44.2956612204272
1.9428525,-44.2671067667429
1.95035,-44.2386936604101
1.9578475,-44.210420856701
1.965345,-44.1822873224488
1.9728425,-44.1542920358737
1.98034,-44.1264339864112
1.9878375,-44.0987121745442
1.995335,-44.0711256116385
2.0028325,-44.0436733197802
2.01033,-44.0163543316174
2.0178275,-43.9891676902036
2.025325,-43.962112448845
2.0328225,-43.9351876709492
2.04032,-43.9083924298783
2.0478175,-43.881725808803
2.055315,-43.8551869005604
2.0628125,-43.8287748075137
2.07031,-43.8024886414149
2.0778075,-43.7763275232692
2.085305,-43.7502905832023
2.0928025,-43.7243769603301
2.1003,-43.69858580263
2.1077975,-43.6729162668152
2.115295,-43.6473675182105
2.1227925,-43.6219387306305
2.13029,-43.5966290862603
2.1377875,-43.5714377755372
2.145285,-43.5463639970355
2.1527825,-43.5214069573521
2.16028,-43.4965658709954
2.1677775,-43.4718399602747
2.175275,-43.4472284551921
2.1827725,-43.4227305933363
2.19027,-43.3983456197779
2.1977675,-43.3740727869661
2.205265,-43.3499113546279
2.2127625,-43.3258605896684
2.22026,-43.3019197660723
2.2277575,-43.2780881648081
2.235255,-43.254365073733
2.2427525,-43.2307497874991
2.25025,-43.2072416074623
2.2577475,-43.1838398415913
2.265245,-43.1605438043786
2.2727425,-43.1373528167532
2.28024,-43.1142662059943
2.2877375,-43.0912833056461
2.295235,-43.0684034554347
2.3027325,-43.0456260011854
2.31023,-43.0229502947422
2.3177275,-43.0003756938875
2.325225,-42.9779015622638
2.3327225,-42.9555272692967
2.34022,-42.9332521901181
2.3477175,-42.9110757054919
2.355215,-42.8889972017394
2.3627125,-42.8670160706673
2.37021,-42.8451317094954
2.3777075,-42.8233435207865
2.385205,-42.8016509123766
2.3927025,-42.7800532973063
2.4002,-42.7585500937538
2.4076975,-42.7371407249678
2.415195,-42.7158246192024
2.4226925,-42.6946012096526
2.43019,-42.6734699343902
2.4376875,-42.6524302363019
2.445185,-42.6314815630268
2.4526825,-42.610623366896
2.46018,-42.5898551048725
2.4676775,-42.5691762384921
2.475175,-42.5485862338051
2.4826725,-42.5280845613189
2.49017,-42.5076706959416
2.4976675,-42.4873441169258
2.505165,-42.467104307814
2.5126625,-42.4469507563842
2.52016,-42.4268829545966
2.5276575,-42.4069003985408
2.535155,-42.387002588384
2.5426525,-42.3671890283198
2.55015,-42.3474592265177
2.5576475,-42.3278126950731
2.565145,-42.3082489499588
2.5726425,-42.2887675109763
2.58014,-42.2693679017081
2.5876375,-42.2500496494707
2.595135,-42.2308122852685
2.6026325,-42.2116553437479
