# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
1.155615000000000059e+00,1.349597934880341884e-03,6.995617433475742261e-03
1.163112499999999994e+00,1.366696249244220241e-03,7.038330855117114898e-03
1.170609999999999928e+00,1.383893584016960415e-03,7.080996161290776733e-03
1.178107500000000085e+00,1.401189740673866807e-03,7.123613153005576952e-03
1.185605000000000020e+00,1.418584520176255663e-03,7.166181633001885917e-03
1.193102499999999955e+00,1.436077722984187288e-03,7.208701405750737347e-03
1.200599999999999890e+00,1.453669149068938064e-03,7.251172277452934932e-03
1.208097500000000046e+00,1.471358597925897897e-03,7.293594056038587431e-03
1.215594999999999981e+00,1.489145868587196404e-03,7.335966551165309761e-03
1.223092499999999916e+00,1.507030759634475029e-03,7.378289574217573345e-03
1.230590000000000073e+00,1.525013069211478322e-03,7.420562938304807454e-03
1.238087500000000007e+00,1.543092595036862046e-03,7.462786458259852707e-03
1.245584999999999942e+00,1.561269134416929955e-03,7.504959950637487415e-03
1.253082500000000099e+00,1.579542484258157848e-03,7.547083233712240102e-03
1.260580000000000034e+00,1.597912441080119421e-03,7.589156127476435337e-03
1.268077499999999969e+00,1.616378801028132191e-03,7.631178453638175381e-03
1.275574999999999903e+00,1.634941359885804749e-03,7.673150035618630550e-03
1.283072500000000060e+00,1.653599913087878915e-03,7.715070698549733770e-03
1.290569999999999995e+00,1.672354255732901897e-03,7.756940269271718133e-03
1.298067499999999930e+00,1.691204182595704370e-03,7.798758576329985724e-03
1.305565000000000087e+00,1.710149488140286439e-03,7.840525449972466504e-03
1.313062500000000021e+00,1.729189966532306780e-03,7.882240722146188761e-03
1.320559999999999956e+00,1.748325411651721617e-03,7.923904226494754219e-03
1.328057499999999891e+00,1.767555617105368189e-03,7.965515798353979549e-03
1.335555000000000048e+00,1.786880376239671818e-03,8.007075274749529334e-03
1.343052499999999982e+00,1.806299482152945966e-03,8.048582494392424874e-03
1.350549999999999917e+00,1.825812727708128790e-03,8.090037297675680555e-03
1.358047500000000074e+00,1.845419905545301557e-03,8.131439526670556847e-03
1.365545000000000009e+00,1.865120808094061344e-03,8.172789025121989306e-03
1.373042499999999944e+00,1.884915227585956619e-03,8.214085638445237092e-03
1.380540000000000100e+00,1.904802956067070925e-03,8.255329213720977166e-03
1.388037500000000035e+00,1.924783785410229047e-03,8.296519599691042079e-03
1.395534999999999970e+00,1.944857507327458178e-03,8.337656646754152551e-03
1.403032499999999905e+00,1.965023913382451907e-03,8.378740206961188611e-03
1.410530000000000062e+00,1.985282795002490160e-03,8.419770134010249110e-03
1.418027499999999996e+00,2.005633943491036755e-03,8.460746283242018273e-03
1.425524999999999931e+00,2.026077150039874014e-03,8.501668511634594486e-03
1.433022500000000088e+00,2.046612205741072353e-03,8.542536677798424904e-03
1.440520000000000023e+00,2.067238901599480292e-03,8.583350641971300779e-03
1.448017499999999957e+00,2.087957028544502793e-03,8.624110266012719600e-03
1.455514999999999892e+00,2.108766377442266443e-03,8.664815413398670521e-03
1.463012500000000049e+00,2.129666739107664072e-03,8.705465949216211613e-03
1.470509999999999984e+00,2.150657904316236307e-03,8.746061740157299452e-03
1.478007499999999919e+00,2.171739663816112543e-03,8.786602654513817404e-03
1.485505000000000075e+00,2.192911808339770199e-03,8.827088562170983671e-03
1.493002500000000010e+00,2.214174128615992165e-03,8.867519334601932021e-03
1.500499999999999945e+00,2.235526415381492923e-03,8.907894844861586475e-03
1.507997500000000102e+00,2.256968459392615350e-03,8.948214967580241097e-03
1.515495000000000037e+00,2.278500051436991095e-03,8.988479578957708771e-03
1.522992499999999971e+00,2.300120982345108585e-03,9.028688556756854153e-03
1.530489999999999906e+00,2.321831043001889704e-03,9.068841780297286215e-03
1.537987500000000063e+00,2.343630024358011026e-03,9.108939130448559865e-03
1.545484999999999998e+00,2.365517717441398098e-03,9.148980489624000331e-03
1.552982499999999932e+00,2.387493913368456903e-03,9.188965741774088661e-03
1.560480000000000089e+00,2.409558403355530846e-03,9.228894772379212311e-03
1.567977500000000024e+00,2.431710978729836881e-03,9.268767468443650862e-03
1.575474999999999959e+00,2.453951430940773306e-03,9.308583718487892927e-03
1.582972499999999894e+00,2.476279551571017659e-03,9.348343412542243699e-03
1.590470000000000050e+00,2.498695132347193096e-03,9.388046442139717784e-03
1.597967499999999985e+00,2.521197965151376549e-03,9.427692700308930307e-03
1.605464999999999920e+00,2.543787842031203488e-03,9.467282081566661886e-03
1.612962500000000077e+00,2.566464555211285872e-03,9.506814481911268419e-03
1.620460000000000012e+00,2.589227897103573220e-03,9.546289798814817582e-03
1.627957499999999946e+00,2.612077660317937023e-03,9.585707931215948704e-03
1.635455000000000103e+00,2.635013637673015805e-03,9.625068779512835002e-03
1.642952500000000038e+00,2.658035622206310778e-03,9.664372245555335680e-03
