"Freq [GHz]","dB(S(waveport1:1,antenna)) []"
0.615795,-52.4734642635087
0.6232925,-52.370594721059
0.63079,-52.2690077838114
0.6382875,-52.1686736988454
0.645785,-52.0695637534045
0.6532825,-51.9716502268498
0.66078,-51.8749063453562
0.6682775,-51.7793062391638
0.675775,-51.6848249022148
0.6832725,-51.5914381540179
0.69077,-51.4991226035932
0.6982675,-51.4078556153642
0.705765,-51.3176152768713
0.7132625,-51.2283803681912
0.72076,-51.1401303329565
0.7282575,-51.0528452508738
0.735755,-50.9665058116505
0.7432525,-50.8810932902433
0.75075,-50.7965895233491
0.7582475,-50.7129768870644
0.765745,-50.6302382756441
0.7732425,-50.5483570812951
0.78074,-50.4673171749451
0.7882375,-50.3871028879316
0.795735,-50.3076989945562
0.8032325,-50.2290906954589
0.81073,-50.1512636017636
0.8182275,-50.0742037199548
0.825725,-49.9978974374432
0.8332225,-49.9223315087846
0.84072,-49.8474930425159
0.8482175,-49.7733694885764
0.855715,-49.6999486262815
0.8632125,-49.6272185528227
0.87071,-49.555167672264
0.8782075,-49.4837846850108
0.885705,-49.4130585777265
0.8932025,-49.342978613674
0.9007,-49.2735343234617
0.9081975,-49.2047154961727
0.915695,-49.1365121708594
0.9231925,-49.0689146283843
0.93069,-49.0019133835921
0.9381875,-48.9354991777947
0.945685,-48.8696629715569
0.9531825,-48.8043959377659
0.96068,-48.7396894549732
0.9681775,-48.6755351009954
0.975675,-48.611924646762
0.9831725,-48.5488500503984
0.99067,-48.4863034515346
0.9981675,-48.4242771658282
1.005665,-48.3627636796923
1.0131625,-48.30175564522
1.02066,-48.2412458752954
1.0281575,-48.1812273388844
1.035655,-48.1216931564962
1.0431525,-48.062636595809
1.05065,-48.0040510674523
1.0581475,-47.9459301209394
1.065645,-47.8882674407435
1.0731425,-47.8310568425121
1.08064,-47.7742922694121
1.0881375,-47.7179677886029
1.095635,-47.6620775878293
1.1031325,-47.6066159721322
1.11063,-47.5515773606694
1.1181275,-47.4969562836444
1.125625,-47.4427473793379
1.1331225,-47.3889453912373
1.14062,-47.3355451652621
1.1481175,-47.2825416470789
1.155615,-47.2299298795055
1.1631125,-47.1777049999977
1.17061,-47.1258622382179
1.1781075,-47.0743969136805
1.185605,-47.0233044334734
1.1931025,-46.9725802900502
1.2006,-46.9222200590922
1.2080975,-46.8722193974372
1.215595,-46.8225740410723
1.2230925,-46.7732798031882
1.23059,-46.724332572294
1.2380875,-46.6757283103879
1.245585,-46.627463051185
1.2530825,-46.5795328983966
1.26058,-46.5319340240623
1.2680775,-46.4846626669309
1.275575,-46.4377151308894
1.2830725,-46.3910877834379
1.29057,-46.3447770542094
1.2980675,-46.2987794335321
1.305565,-46.2530914710336
1.3130625,-46.2077097742849
1.32056,-46.162631007483
1.3280575,-46.1178518901712
1.335555,-46.0733691959953
1.3430525,-46.0291797514946
1.35055,-45.9852804349267
1.3580475,-45.9416681751252
1.365545,-45.8983399503882
1.3730425,-45.8552927873982
1.38054,-45.8125237601708
1.3880375,-45.770029989032
1.395535,-45.7278086396234
1.4030325,-45.6858569219343
1.41053,-45.6441720893587
1.4180275,-45.6027514377784
1.425525,-45.5615923046696
1.4330225,-45.5206920682337
1.44052,-45.4800481465502
1.4480175,-45.4396579967516
1.455515,-45.3995191142203
1.4630125,-45.3596290318058
1.47051,-45.3199853190614
1.4780075,-45.2805855815015
1.485505,-45.241427459877
1.4930025,-45.2025086294688
1.5005,-45.1638267993996
1.5079975,-45.1253797119625
1.515495,-45.0871651419665
1.5229925,-45.0491808960979
1.53049,-45.0114248122981
1.5379875,-44.9738947591553
1.545485,-44.9365886353128
1.5529825,-44.8995043688898
1.56048,-44.8626399169178
1.5679775,-44.8259932647894
1.575475,-44.7895624257208
1.5829725,-44.7533454402269
1.59047,-44.7173403756089
1.5979675,-44.681545325454
1.605465,-44.6459584091467
1.6129625,-44.6105777713917
1.62046,-44.5754015817474
1.6279575,-44.540428034171
1.635455,-44.5056553465734
1.6429525,-44.4710817603842
1.65045,-44.4367055401273
1.6579475,-44.4025249730058
1.665445,-44.3685383684956
1.6729425,-44.3347440579493
1.68044,-44.3011403942081
1.6879375,-44.2677257512229
1.695435,-44.2344985236831
1.7029325,-44.2014571266546
1.71043,-44.1685999952246
1.7179275,-44.1359255841551
1.725425,-44.1034323675435
1.7329225,-44.0711188384906
1.74042,-44.0389835087759
1.7479175,-44.0070249085397
1.755415,-43.9752415859721
1.7629125,-43.9436321070085
1.77041,-43.9121950550319
1.7779075,-43.8809290305812
1.785405,-43.8498326510653
1.7929025,-43.8189045504839
1.8004,-43.7881433791539
1.8078975,-43.7575478034407
1.815395,-43.7271165054966
1.8228925,-43.6968481830027
1.83039,-43.6667415489178
1.8378875,-43.6367953312312
1.845385,-43.6070082727214
1.8528825,-43.5773791307187
1.86038,-43.5479066768737
1.8678775,-43.5185896969295
