"Freq [GHz]","dB(S(waveport1:1,antenna)) []"
1.86038,-43.5324831312635
1.8678775,-43.5033587015804
1.875375,-43.4743872068507
1.8828725,-43.4455674565826
1.89037,-43.4168982739449
1.8978675,-43.3883784955549
1.905365,-43.3600069712722
1.9128625,-43.3317825639951
1.92036,-43.3037041494615
1.9278575,-43.2757706160534
1.935355,-43.2479808646051
1.9428525,-43.2203338082152
1.95035,-43.1928283720619
1.9578475,-43.1654634932218
1.965345,-43.1382381204921
1.9728425,-43.1111512142161
1.98034,-43.0842017461118
1.9878375,-43.0573886991037
1.995335,-43.0307110671579
2.0028325,-43.0041678551195
2.01033,-42.977758078554
2.0178275,-42.9514807635903
2.025325,-42.9253349467676
2.0328225,-42.8993196748845
2.04032,-42.8734340048505
2.0478175,-42.847677003541
2.055315,-42.8220477476537
2.0628125,-42.7965453235687
2.07031,-42.7711688272097
2.0778075,-42.7459173639091
2.085305,-42.7207900482742
2.0928025,-42.6957860040561
2.1003,-42.6709043640212
2.1077975,-42.6461442698242
2.115295,-42.6215048718838
2.1227925,-42.5969853292602
2.13029,-42.5725848095349
2.1377875,-42.548302488692
2.145285,-42.5241375510022
2.1527825,-42.5000891889082
2.16028,-42.4761566029117
2.1677775,-42.4523390014634
2.175275,-42.4286356008533
2.1827725,-42.4050456251041
2.19027,-42.3815683058653
2.1977675,-42.3582028823099
2.205265,-42.3349486010316
2.2127625,-42.3118047159453
2.22026,-42.2887704881872
2.2277575,-42.2658451860181
2.235255,-42.2430280847275
2.2427525,-42.2203184665393
2.25025,-42.1977156205187
2.2577475,-42.1752188424812
2.265245,-42.1528274349025
2.2727425,-42.1305407068298
2.28024,-42.1083579737946
2.2877375,-42.0862785577268
2.295235,-42.0643017868704
2.3027325,-42.0424269956996
2.31023,-42.0206535248373
2.3177275,-41.9989807209738
2.325225,-41.9774079367876
2.3327225,-41.9559345308668
2.34022,-41.9345598676317
2.3477175,-41.9132833172588
2.355215,-41.8921042556059
2.3627125,-41.8710220641379
2.37021,-41.8500361298544
2.3777075,-41.8291458452175
2.385205,-41.8083506080815
2.3927025,-41.7876498216228
2.4002,-41.7670428942715
2.4076975,-41.7465292396437
2.415195,-41.7261082764747
2.4226925,-41.705779428553
2.43019,-41.6855421246559
2.4376875,-41.6653957984855
2.445185,-41.6453398886053
2.4526825,-41.6253738383785
2.46018,-41.6054970959066
2.4676775,-41.5857091139692
2.475175,-41.5660093499641
2.4826725,-41.546397265849
2.49017,-41.5268723280833
2.4976675,-41.5074340075712
2.505165,-41.4880817796057
2.5126625,-41.4688151238124
2.52016,-41.4496335240953
2.5276575,-41.430536468583
2.535155,-41.4115234495748
2.5426525,-41.3925939634887
2.55015,-41.3737475108098
2.5576475,-41.3549835960387
2.565145,-41.3363017276415
2.5726425,-41.317701418
