"Freq [GHz]","re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2)) []","atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))) [deg]"
0.915695,12.3253633663072,89.9984816901598
0.9231925,12.4268302502169,89.9984691019881
0.93069,12.5283106392104,89.9984565095621
0.9381875,12.6298046453751,89.9984439128329
0.945685,12.7313123808573,89.9984313117509
0.9531825,12.8328339578631,89.9984187062665
0.96068,12.9343694886584,89.99840609633
0.9681775,13.03591908557,89.9983934818912
0.975675,13.1374828609856,89.9983808628999
0.9831725,13.2390609273547,89.9983682393056
0.99067,13.3406533971887,89.9983556110578
0.9981675,13.4422603830617,89.9983429781055
1.005665,13.5438819976111,89.9983303403976
1.0131625,13.6455183535377,89.9983176978831
1.02066,13.7471695636066,89.9983050505104
1.0281575,13.8488357406476,89.998292398228
1.035655,13.9505169975556,89.9982797409842
1.0431525,14.0522134472911,89.9982670787269
1.05065,14.153925202881,89.9982544114042
1.0581475,14.2556523774188,89.9982417389638
1.065645,14.3573950840653,89.9982290613532
1.0731425,14.4591534360489,89.99821637852
1.08064,14.5609275466664,89.9982036904114
1.0881375,14.6627175292834,89.9981909969746
1.095635,14.7645234973347,89.9981782981566
1.1031325,14.8663455643251,89.9981655939044
1.11063,14.9681838438294,89.9981528841646
1.1181275,15.0700384494937,89.998140168884
1.125625,15.1719094950352,89.998127448009
1.1331225,15.273797094243,89.9981147214862
1.14062,15.3757013609788,89.9981019892619
1.1481175,15.4776224091771,89.9980892512823
1.155615,15.579560352846,89.9980765074935
1.1631125,15.6815153060676,89.9980637578417
1.17061,15.7834873829985,89.9980510022728
1.1781075,15.8854766978703,89.9980382407326
1.185605,15.9874833649904,89.9980254731671
1.1931025,16.0895074987421,89.9980126995221
1.2006,16.1915492135855,89.9979999197432
1.2080975,16.293608624058,89.9979871337761
1.215595,16.3956858447746,89.9979743415666
1.2230925,16.4977809904284,89.9979615430602
1.23059,16.5998941757917,89.9979487382024
1.2380875,16.7020255157159,89.9979359269389
1.245585,16.8041751251323,89.9979231092151
1.2530825,16.9063431190526,89.9979102849766
1.26058,17.0085296125697,89.9978974541689
1.2680775,17.1107347208576,89.9978846167376
1.275575,17.2129585591728,89.9978717726282
1.2830725,17.3152012428541,89.9978589217862
1.29057,17.4174628873235,89.9978460641573
1.2980675,17.5197436080868,89.9978331996871
1.305565,17.622043520734,89.9978203283211
1.3130625,17.7243627409398,89.9978074500053
1.32056,17.8267013844644,89.9977945646852
1.3280575,17.9290595671538,89.9977816723067
1.335555,18.0314374049405,89.9977687728157
1.3430525,18.1338350138439,89.9977558661583
1.35055,18.2362525099712,89.9977429522803
1.3580475,18.3386900095176,89.997730031128
1.365545,18.4411476287668,89.9977171026476
1.3730425,18.5436254840921,89.9977041667854
1.38054,18.6461236919564,89.9976912234879
1.3880375,18.748642368913,89.9976782727017
1.395535,18.8511816316062,89.9976653143733
1.4030325,18.9537415967717,89.9976523484498
1.41053,19.0563223812374,89.997639374878
1.4180275,19.1589241019237,89.9976263936051
1.425525,19.2615468758445,89.9976134045783
1.4330225,19.3641908201072,89.9976004077451
1.44052,19.4668560519136,89.997587403053
1.4480175,19.5695426885607,89.99757439045
1.455515,19.6722508474407,89.9975613698839
1.4630125,19.7749806460422,89.9975483413029
1.47051,19.8777322019501,89.9975353046554
1.4780075,19.980505632847,89.99752225989
1.485505,20.0833010565131,89.9975092069554
1.4930025,20.1861185908269,89.9974961458006
1.5005,20.2889583537663,89.997483076375
1.5079975,20.3918204634084,89.997469998628
1.515495,20.4947050379307,89.9974569125092
