"Freq [GHz]","sqrt(2)*sqrt(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))*(1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))) []"
0.51083,2.72147928276208
0.5183275,2.76073274041077
0.525825,2.79995657485814
0.5333225,2.83915039547358
0.54082,2.87831381345435
0.5483175,2.91744644129468
0.555815,2.95654789325849
0.5633125,2.99561778527312
0.57081,3.03465573474816
0.5783075,3.07366136082856
0.585805,3.11263428431722
0.5933025,3.15157412773333
0.6008,3.19048051528441
0.6082975,3.22935307285416
0.615795,3.26819142806855
0.6232925,3.30699521033767
0.63079,3.34576405087969
0.6382875,3.38449758254451
0.645785,3.42319544006742
0.6532825,3.46185726002191
0.66078,3.50048268077789
0.6682775,3.53907134254619
0.675775,3.57762288733986
0.6832725,3.61613695909893
0.69077,3.65461320362042
0.6982675,3.69305126861892
0.705765,3.7314508037122
0.7132625,3.7698114603455
0.72076,3.80813289201877
0.7282575,3.84641475414669
0.735755,3.88465670408135
0.7432525,3.92285840113043
0.75075,3.96101950658915
0.7582475,3.9991396837864
0.765745,4.03721859807696
0.7732425,4.07525591671773
0.78074,4.11325130907717
0.7882375,4.15120444661143
0.795735,4.18911500270404
0.8032325,4.22698265282249
0.81073,4.26480707466899
0.8182275,4.30258794781296
0.825725,4.34032495395413
0.8332225,4.37801777708255
0.84072,4.41566610301366
0.8482175,4.45326961993526
0.855715,4.49082801795015
0.8632125,4.52834098951741
0.87071,4.56580822901183
0.8782075,4.6032294331762
0.885705,4.64060430073857
0.8932025,4.6779325327047
0.9007,4.71521383224577
0.9081975,4.75244790463335
0.915695,4.78963445745965
0.9231925,4.82677320039308
0.93069,4.8638638454311
0.9381875,4.90090610666495
0.945685,4.9378997004848
0.9531825,4.97484434549113
0.96068,5.01173976248136
0.9681775,5.04858567451103
0.975675,5.0853818068755
0.9831725,5.12212788714218
0.99067,5.15882364510147
0.9981675,5.19546881281431
1.005665,5.23206312458127
1.0131625,5.26860631700245
1.02066,5.30509812894568
1.0281575,5.34153830152821
1.035655,5.37792657811488
1.0431525,5.41426270448816
1.05065,5.45054642857121
1.0581475,5.48677750064682
1.065645,5.52295567321927
1.0731425,5.55908070120527
1.08064,5.59515234177636
1.0881375,5.63117035432027
1.095635,5.66713450060089
1.1031325,5.70304454464936
1.11063,5.73890025288827
1.1181275,5.77470139397982
1.125625,5.81044773883702
1.1331225,5.84613906078639
1.14062,5.88177513541167
1.1481175,5.91735574063974
1.155615,5.95288065669454
1.1631125,5.98834966606421
1.17061,6.02376255364668
1.1781075,6.05911910655278
1.185605,6.09441911428999
1.1931025,6.12966236861236
1.2006,6.16484866359277
1.2080975,6.19997779567621
1.215595,6.2350495635606
1.2230925,6.27006376828592
1.23059,6.3050202131727
1.2380875,6.3399187038308
1.245585,6.37475904821231
1.2530825,6.40954105659231
1.26058,6.44426454145489
1.2680775,6.47892931772436
1.275575,6.51353520250002
1.2830725,6.54808201516294
1.29057,6.58256957753096
1.2980675,6.6169977135525
1.305565,6.65136624951558
1.3130625,6.68567501405544
1.32056,6.71992383800431
1.3280575,6.75411255450501
1.335555,6.78824099893827
1.3430525,6.82230900899536
1.35055,6.85631642460287
1.3580475,6.8902630879994
1.365545,6.92414884359344
1.3730425,6.95797353811506
1.38054,6.99173702051757
1.3880375,7.02543914197602
1.395535,7.05907975592218
1.4030325,7.09265871803894
1.41053,7.12617588619952
1.4180275,7.15963112056566
1.425525,7.19302428339354
1.4330225,7.2263552392742
1.44052,7.25962385497694
1.4480175,7.29282999937142
1.455515,7.32597354364619
1.4630125,7.35905436114522
1.47051,7.39207232733766
1.4780075,7.42502731992861
1.485505,7.45791921875518
1.4930025,7.49074790585825
1.5005,7.52351326539846
1.5079975,7.55621518365906
1.515495,7.58885354915708
1.5229925,7.62142825246185
1.53049,7.65393918626851
1.5379875,7.68638624548638
