# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
5.558149999999999480e-01,3.587642620036743672e-04,3.444216785513597254e-03
5.633124999999999938e-01,3.684457995368074345e-04,3.489987508333330674e-03
5.708100000000000396e-01,3.782536928601974908e-04,3.535731161361408467e-03
5.783074999999999743e-01,3.881878088526786986e-04,3.581447425301089674e-03
5.858050000000000201e-01,3.982480127335215662e-04,3.627135982420448893e-03
5.933024999999999549e-01,4.084341680676996768e-04,3.672796516568849201e-03
6.008000000000000007e-01,4.187461367715763832e-04,3.718428713193342242e-03
6.082975000000000465e-01,4.291837791186865324e-04,3.764032259354722215e-03
6.157949999999999813e-01,4.397469537455731057e-04,3.809606843743901673e-03
6.232925000000000271e-01,4.504355176578827657e-04,3.855152156697317159e-03
6.307899999999999618e-01,4.612493262366753710e-04,3.900667890213095103e-03
6.382875000000000076e-01,4.721882332447553915e-04,3.946153737966218503e-03
6.457850000000000534e-01,4.832520908332982811e-04,3.991609395324153750e-03
6.532824999999999882e-01,4.944407495486263619e-04,4.037034559361840809e-03
