# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
8.707099999999999840e-01,2.633150264154279188e-04,5.287668267222471290e-03
8.782075000000000298e-01,2.677879923219356304e-04,5.331414658064175666e-03
8.857049999999999645e-01,2.722965233967523675e-04,5.375117376190821986e-03
8.932025000000000103e-01,2.768405493753288513e-04,5.418776137837142022e-03
9.006999999999999451e-01,2.814199994674041676e-04,5.462390661168380589e-03
9.081974999999999909e-01,2.860348023599952366e-04,5.505960666283483095e-03
9.156950000000000367e-01,2.906848862208262540e-04,5.549485875218746270e-03
9.231924999999999715e-01,2.953701787015868257e-04,5.592966011950579845e-03
9.306900000000000173e-01,3.000906069413066565e-04,5.636400802398426092e-03
9.381874999999999520e-01,3.048460975698366517e-04,5.679789974427459052e-03
9.456849999999999978e-01,3.096365767114017935e-04,5.723133257850661869e-03
9.531825000000000436e-01,3.144619699881798756e-04,5.766430384431190347e-03
9.606799999999999784e-01,3.193222025240064388e-04,5.809681087884002726e-03
9.681775000000000242e-01,3.242171989480682683e-04,5.852885103877864155e-03
9.756749999999999590e-01,3.291468833987977937e-04,5.896042170036496811e-03
9.831725000000000048e-01,3.341111795277003230e-04,5.939152025939782933e-03
9.906700000000000506e-01,3.391100105033757273e-04,5.982214413124952238e-03
9.981674999999999853e-01,3.441432990154449879e-04,6.025229075087189939e-03
1.005665000000000031e+00,3.492109672787362465e-04,6.068195757280280336e-03
1.013162499999999966e+00,3.543129370374880943e-04,6.111114207116647573e-03
1.020659999999999901e+00,3.594491295694573975e-04,6.153984173968028715e-03
1.028157500000000057e+00,3.646194656903008831e-04,6.196805409164608119e-03
1.035654999999999992e+00,3.698238657580890524e-04,6.239577665995456324e-03
1.043152499999999927e+00,3.750622496774160658e-04,6.282300699707384257e-03
1.050650000000000084e+00,3.803345369043484216e-04,6.324974267504626657e-03
1.058147500000000019e+00,3.856406464505956642e-04,6.367598128547600871e-03
1.065644999999999953e+00,3.909804968884259945e-04,6.410172043951953627e-03
1.073142500000000110e+00,3.963540063554056971e-04,6.452695776787088257e-03
1.080640000000000045e+00,4.017610925589383693e-04,6.495169092074666757e-03
1.088137499999999980e+00,4.072016727813801331e-04,6.537591756786712872e-03
1.095634999999999915e+00,4.126756638848314289e-04,6.579963539843768951e-03
1.103132500000000071e+00,4.181829823161665213e-04,6.622284212112992084e-03
1.110630000000000006e+00,4.237235441120091738e-04,6.664553546405128752e-03
1.118127499999999941e+00,4.292972649040208448e-04,6.706771317472720248e-03
1.125625000000000098e+00,4.349040599238104430e-04,6.748937302006895178e-03
1.133122500000000032e+00,4.405438440084702640e-04,6.791051278634610382e-03
1.140619999999999967e+00,4.462165316057154873e-04,6.833113027915725321e-03
1.148117499999999902e+00,4.519220367792162836e-04,6.875122332339451102e-03
1.155615000000000059e+00,4.576602732141679024e-04,6.917078976320813373e-03
1.163112499999999994e+00,4.634311542226220745e-04,6.958982746197483853e-03
1.170609999999999928e+00,4.692345927492157188e-04,7.000833430225652555e-03
1.178107500000000085e+00,4.750705013766051807e-04,7.042630818575946854e-03
1.185605000000000020e+00,4.809387923311730386e-04,7.084374703329454626e-03
1.193102499999999955e+00,4.868393774888516790e-04,7.126064878473580000e-03
1.200599999999999890e+00,4.927721683807996913e-04,7.167701139897095924e-03
