"Freq [GHz]","dB(S(waveport1:1,antenna)) []"
0.6682775,-56.1945335791066
0.675775,-56.0971955803168
0.6832725,-56.0009222174723
0.69077,-55.9056901591353
0.6982675,-55.8114768297039
0.705765,-55.7182603771189
0.7132625,-55.6260196422767
0.72076,-55.5347341300421
0.7282575,-55.4443839817601
0.735755,-55.3549499491762
0.7432525,-55.2664133696779
0.75075,-55.1787561427791
0.7582475,-55.0919607077729
0.765745,-55.0060100224837
0.7732425,-54.9208875430539
0.78074,-54.8365772047066
0.7882375,-54.7530634034268
0.795735,-54.6703309785102
0.8032325,-54.5883651959295
0.81073,-54.5071517324743
0.8182275,-54.4266766606202
0.825725,-54.346926434088
0.8332225,-54.2678878740557
0.84072,-54.189548155988
0.8482175,-54.1118947970502
0.855715,-54.0349156440757
0.8632125,-53.9585988620589
0.87071,-53.8829329231449
0.8782075,-53.8079065960918
0.885705,-53.7335089361798
0.8932025,-53.659729275547
0.9007,-53.5865572139277
0.9081975,-53.5139826097756
0.915695,-53.4419955717507
0.9231925,-53.3705864505543
0.93069,-53.2997458310937
0.9381875,-53.2294645249609
0.945685,-53.1597335632112
0.9531825,-53.0905441894265
0.96068,-53.02188785305
0.9681775,-52.9537562029806
0.975675,-52.8861410814139
0.9831725,-52.819034517919
0.99067,-52.75242872374
0.9981675,-52.6863160863126
1.005665,-52.6206891639858
1.0131625,-52.5555406809394
1.02066,-52.4908635222886
1.0281575,-52.4266507293686
1.035655,-52.3628954951892
1.0431525,-52.2995911600543
1.05065,-52.2367312073379
1.0581475,-52.1743092594098
1.065645,-52.1123190737062
1.0731425,-52.0507545389365
1.08064,-51.9896096714236
1.0881375,-51.9288786115693
1.095635,-51.8685556204425
1.1031325,-51.8086350764823
1.11063,-51.7491114723138
1.1181275,-51.6899794116701
1.125625,-51.6312336064178
1.1331225,-51.5728688736813
1.14062,-51.5148801330608
1.1481175,-51.457262403943
1.155615,-51.4000108028979
1.1631125,-51.3431205411608
1.17061,-51.2865869221943
1.1781075,-51.2304053393287
1.185605,-51.1745712734773
1.1931025,-51.1190802909231
1.2006,-51.0639280411753
1.2080975,-51.0091102548924
1.215595,-50.9546227418696
1.2230925,-50.9004613890878
1.23059,-50.8466221588224
1.2380875,-50.7931010868097
1.245585,-50.7398942804684
1.2530825,-50.6869979171744
1.26058,-50.6344082425872
1.2680775,-50.5821215690261
1.275575,-50.530134273894
1.2830725,-50.4784427981471
1.29057,-50.4270436448101
1.2980675,-50.3759333775335
1.305565,-50.3251086191927
1.3130625,-50.2745660505279
1.32056,-50.2243024088211
1.3280575,-50.1743144866128
1.335555,-50.1245991304527
1.3430525,-50.0751532396867
1.35055,-50.0259737652772
1.3580475,-49.9770577086563
1.365545,-49.9284021206102
1.3730425,-49.8800041001944
1.38054,-49.8318607936789
1.3880375,-49.7839693935206
1.395535,-49.7363271373654
1.4030325,-49.6889313070752
1.41053,-49.6417792277818
1.4180275,-49.594868266966
1.425525,-49.5481958335604
1.4330225,-49.5017593770761
1.44052,-49.4555563867525
1.4480175,-49.4095843907285
1.455515,-49.3638409552356
1.4630125,-49.318323683812
1.47051,-49.2730302165359
1.4780075,-49.2279582292794
1.485505,-49.1831054329804
1.4930025,-49.1384695729338
1.5005,-49.0940484280992
1.5079975,-49.0498398104274
1.515495,-49.0058415642021
1.5229925,-48.9620515653995
1.53049,-48.9184677210618
1.5379875,-48.875087968688
1.545485,-48.831910275638
1.5529825,-48.7889326385516
1.56048,-48.7461530827824
1.5679775,-48.7035696618439
1.575475,-48.6611804568695
1.5829725,-48.618983576086
1.59047,-48.5769771542981
1.5979675,-48.5351593523868
1.605465,-48.4935283568179
1.6129625,-48.4520823791632
1.62046,-48.4108196556323
1.6279575,-48.3697384466155
1.635455,-48.3288370362369
1.6429525,-48.288113731918
1.65045,-48.2475668639514
1.6579475,-48.207194785084
1.665445,-48.1669958701093
1.6729425,-48.1269685154701
1.68044,-48.0871111388685
1.6879375,-48.0474221788858
1.695435,-48.0079000946107
1.7029325,-47.968543365275
1.71043,-47.9293504898984
1.7179275,-47.8903199869405
1.725425,-47.8514503939602
1.7329225,-47.8127402672833
1.74042,-47.7741881816765
1.7479175,-47.7357927300292
1.755415,-47.6975525230413
1.7629125,-47.6594661889186
1.77041,-47.621532373074
1.7779075,-47.5837497378357
1.785405,-47.5461169621606
1.7929025,-47.5086327413549
1.8004,-47.4712957868
1.8078975,-47.4341048256837
1.815395,-47.3970586007383
1.8228925,-47.3601558699824
1.83039,-47.3233954064698
1.8378875,-47.286775998042
