# Frequency (GHz),Output Power (W)
9.531825000000000436e-01,1.019901705319994384e-05
9.606799999999999784e-01,1.035307080034386826e-05
9.681775000000000242e-01,1.050812284966575986e-05
9.756749999999999590e-01,1.066416885042305037e-05
9.831725000000000048e-01,1.082120443650071785e-05
9.906700000000000506e-01,1.097922522672623555e-05
9.981674999999999853e-01,1.113822682518182890e-05
1.005665000000000031e+00,1.129820482151681557e-05
1.013162499999999966e+00,1.145915479125705367e-05
1.020659999999999901e+00,1.162107229611643472e-05
1.028157500000000057e+00,1.178395288430207136e-05
1.035654999999999992e+00,1.194779209082392005e-05
1.043152499999999927e+00,1.211258543779776473e-05
1.050650000000000084e+00,1.227832843475081789e-05
1.058147500000000019e+00,1.244501657892307455e-05
1.065644999999999953e+00,1.261264535556913207e-05
1.073142500000000110e+00,1.278121023825726063e-05
1.080640000000000045e+00,1.295070668916758924e-05
1.088137499999999980e+00,1.312113015938798796e-05
1.095634999999999915e+00,1.329247608920921479e-05
1.103132500000000071e+00,1.346473990841909194e-05
1.110630000000000006e+00,1.363791703659122717e-05
1.118127499999999941e+00,1.381200288337775852e-05
1.125625000000000098e+00,1.398699284879527540e-05
1.133122500000000032e+00,1.416288232351194576e-05
1.140619999999999967e+00,1.433966668913241399e-05
1.148117499999999902e+00,1.451734131847949017e-05
1.155615000000000059e+00,1.469590157587456202e-05
1.163112499999999994e+00,1.487534281741843545e-05
1.170609999999999928e+00,1.505566039126712508e-05
1.178107500000000085e+00,1.523684963790654709e-05
1.185605000000000020e+00,1.541890589042642080e-05
1.193102499999999955e+00,1.560182447479231368e-05
1.200599999999999890e+00,1.578560071011289714e-05
1.208097500000000046e+00,1.597022990890923023e-05
1.215594999999999981e+00,1.615570737737806483e-05
1.223092499999999916e+00,1.634202841565805125e-05
1.230590000000000073e+00,1.652918831808759871e-05
1.238087500000000007e+00,1.671718237346557517e-05
1.245584999999999942e+00,1.690600586530951685e-05
1.253082500000000099e+00,1.709565407210828460e-05
1.260580000000000034e+00,1.728612226757711569e-05
1.268077499999999969e+00,1.747740572090631270e-05
1.275574999999999903e+00,1.766949969701135537e-05
1.283072500000000060e+00,1.786239945677960066e-05
1.290569999999999995e+00,1.805610025731358789e-05
1.298067499999999930e+00,1.825059735217359510e-05
1.305565000000000087e+00,1.844588599161748826e-05
1.313062500000000021e+00,1.864196142283983530e-05
1.320559999999999956e+00,1.883881889020607684e-05
1.328057499999999891e+00,1.903645363548617174e-05
1.335555000000000048e+00,1.923486089808734486e-05
1.343052499999999982e+00,1.943403591528172880e-05
1.350549999999999917e+00,1.963397392243400913e-05
1.358047500000000074e+00,1.983467015322529177e-05
1.365545000000000009e+00,2.003611983987759726e-05
1.373042499999999944e+00,2.023831821337120261e-05
1.380540000000000100e+00,2.044126050366675706e-05
1.388037500000000035e+00,2.064494193991664052e-05
1.395534999999999970e+00,2.084935775068327105e-05
1.403032499999999905e+00,2.105450316414738692e-05
1.410530000000000062e+00,2.126037340831762282e-05
1.418027499999999996e+00,2.146696371124086209e-05
1.425524999999999931e+00,2.167426930120303091e-05
1.433022500000000088e+00,2.188228540693500866e-05
1.440520000000000023e+00,2.209100725781093863e-05
1.448017499999999957e+00,2.230043008404955423e-05
1.455514999999999892e+00,2.251054911690785813e-05
1.463012500000000049e+00,2.272135958887598728e-05
1.470509999999999984e+00,2.293285673387031949e-05
1.478007499999999919e+00,2.314503578742264976e-05
1.485505000000000075e+00,2.335789198686831969e-05
1.493002500000000010e+00,2.357142057153011508e-05
