"Freq [GHz]","mag(S(waveport1:1,antenna))**2 []"
2.07031,1.31002373214761E-05
2.0778075,1.31870632553107E-05
2.085305,1.32741305811557E-05
2.0928025,1.33614392572909E-05
2.1003,1.34489892516118E-05
2.1077975,1.35367805417381E-05
2.115295,1.36248131151229E-05
2.1227925,1.37130869691619E-05
2.13029,1.38016021113039E-05
2.1377875,1.38903585591617E-05
2.145285,1.39793563406228E-05
2.1527825,1.40685954939613E-05
2.16028,1.41580760679498E-05
2.1677775,1.42477981219714E-05
2.175275,1.43377617261317E-05
2.1827725,1.44279669613713E-05
2.19027,1.45184139195782E-05
2.1977675,1.46091027036994E-05
2.205265,1.47000334278534E-05
2.2127625,1.47912062174415E-05
2.22026,1.48826212092593E-05
2.2277575,1.49742785516073E-05
2.235255,1.50661784044014E-05
2.2427525,1.51583209392822E-05
2.25025,1.52507063397241E-05
2.2577475,1.53433348011431E-05
2.265245,1.54362065310039E-05
2.2727425,1.5529321748926E-05
2.28024,1.56226806867883E-05
2.2877375,1.57162835888328E-05
2.295235,1.58101307117668E-05
2.3027325,1.59042223248635E-05
2.31023,1.59985587100612E-05
2.3177275,1.60931401620606E-05
2.325225,1.61879669884204E-05
2.3327225,1.62830395096514E-05
2.34022,1.63783580593074E-05
2.3477175,1.64739229840752E-05
2.355215,1.65697346438614E-05
2.3627125,1.66657934118778E-05
2.37021,1.67620996747228E-05
2.3777075,1.68586538324617E-05
2.385205,1.69554562987031E-05
2.3927025,1.70525075006732E-05
2.4002,1.71498078792864E-05
2.4076975,1.72473578892132E-05
2.415195,1.73451579989447E-05
2.4226925,1.74432086908538E-05
2.43019,1.75415104612525E-05
2.4376875,1.76400638204456E-05
2.445185,1.77388692927814E-05
2.4526825,1.78379274166971E-05
2.46018,1.79372387447613E-05
2.4676775,1.80368038437114E-05
2.475175,1.81366232944874E-05
2.4826725,1.82366976922607E-05
2.49017,1.83370276464582E-05
2.4976675,1.84376137807825E-05
2.505165,1.85384567332254E-05
2.5126625,1.86395571560787E-05
2.52016,1.87409157159374E-05
2.5276575,1.88425330936996E-05
2.535155,1.89444099845592E-05
2.5426525,1.90465470979945E-05
2.55015,1.91489451577493E-05
2.5576475,1.925160490181E-05
2.565145,1.93545270823747E-05
2.5726425,1.94577124658176E-05
2.58014,1.95611618326459E-05
2.5876375,1.96648759774506E-05
2.595135,1.9768855708851E-05
2.6026325,1.98731018494315E-05
2.61013,1.99776152356719E-05
2.6176275,2.00823967178705E-05
2.625125,2.01874471600599E-05
2.6326225,2.02927674399148E-05
2.64012,2.03983584486532E-05
2.6476175,2.05042210909287E-05
2.655115,2.06103562847156E-05
2.6626125,2.07167649611854E-05
2.67011,2.08234480645752E-05
2.6776075,2.0930406552048E-05
2.685105,2.10376413935437E-05
2.6926025,2.11451535716218E-05
2.7001,2.12529440812953E-05
2.7075975,2.13610139298549E-05
2.715095,2.14693641366846E-05
2.7225925,2.15779957330673E-05
2.73009,2.16869097619816E-05
2.7375875,2.17961072778875E-05
2.745085,2.19055893465039E-05
2.7525825,2.20153570445744E-05
2.76008,2.21254114596241E-05
2.7675775,2.22357536897048E-05
2.775075,2.23463848431307E-05
2.7825725,2.24573060382027E-05
2.79007,2.25685184029216E-05
2.7975675,2.26800230746908E-05
2.805065,2.27918212000072E-05
2.8125625,2.29039139341408E-05
2.82006,2.30163024408028E-05
2.8275575,2.31289878918015E-05
2.835055,2.32419714666866E-05
2.8425525,2.33552543523815E-05
2.85005,2.34688377428024E-05
2.8575475,2.35827228384657E-05
2.865045,2.3696910846083E-05
2.8725425,2.38114029781416E-05
2.88004,2.39262004524742E-05
2.8875375,2.40413044918135E-05
2.895035,2.41567163233344E-05
2.9025325,2.42724371781826E-05
2.91003,2.43884682909888E-05
2.9175275,2.45048108993695E-05
2.925025,2.46214662434139E-05
2.9325225,2.47384355651559E-05
2.94002,2.48557201080318E-05
2.9475175,2.49733211163239E-05
2.955015,2.50912398345883E-05
2.9625125,2.52094775070687E-05
2.97001,2.53280353770943E-05
2.9775075,2.54469146864626E-05
