"Freq [GHz]","mag(S(waveport1:1,antenna))**2 []"
0.705765,2.28332065981411E-15
0.7132625,2.28166973714937E-15
0.72076,2.28000399641713E-15
0.7282575,2.27832350986127E-15
0.735755,2.27662835023777E-15
0.7432525,2.27491859080055E-15
0.75075,2.27319430528773E-15
0.7582475,2.27145556790821E-15
0.765745,2.26970245332852E-15
0.7732425,2.26793503665999E-15
0.78074,2.26615339344616E-15
0.7882375,2.26435759965046E-15
0.795735,2.26254773164409E-15
0.8032325,2.26072386619412E-15
0.81073,2.25888608045181E-15
0.8182275,2.25703445194112E-15
0.825725,2.25516905854735E-15
0.8332225,2.25328997850603E-15
0.84072,2.25139729039187E-15
0.8482175,2.24949107310798E-15
0.855715,2.2475714058751E-15
0.8632125,2.2456383682211E-15
0.87071,2.2436920399705E-15
0.8782075,2.24173250123417E-15
0.885705,2.23975983239919E-15
0.8932025,2.23777411411872E-15
0.9007,2.23577542730207E-15
0.9081975,2.23376385310484E-15
0.915695,2.23173947291922E-15
0.9231925,2.22970236836428E-15
0.93069,2.2276526212765E-15
0.9381875,2.22559031370027E-15
0.945685,2.2235155278786E-15
0.9531825,2.22142834624381E-15
0.96068,2.21932885140843E-15
0.9681775,2.21721712615608E-15
0.975675,2.21509325343253E-15
0.9831725,2.21295731633681E-15
0.99067,2.21080939811238E-15
0.9981675,2.20864958213846E-15
1.005665,2.20647795192134E-15
1.0131625,2.20429459108594E-15
1.02066,2.20209958336727E-15
1.0281575,2.19989301260208E-15
1.035655,2.19767496272062E-15
1.0431525,2.19544551773841E-15
1.05065,2.19320476174812E-15
1.0581475,2.19095277891158E-15
1.065645,2.18868965345182E-15
1.0731425,2.18641546964521E-15
1.08064,2.18413031181371E-15
1.0881375,2.18183426431716E-15
1.095635,2.17952741154574E-15
1.1031325,2.17720983791238E-15
1.11063,2.17488162784544E-15
1.1181275,2.17254286578126E-15
1.125625,2.17019363615702E-15
1.1331225,2.16783402340353E-15
1.14062,2.16546411193815E-15
1.1481175,2.16308398615785E-15
1.155615,2.16069373043227E-15
1.1631125,2.15829342909698E-15
1.17061,2.15588316644671E-15
1.1781075,2.15346302672879E-15
1.185605,2.15103309413654E-15
1.1931025,2.14859345280295E-15
1.2006,2.14614418679423E-15
1.2080975,2.1436853801036E-15
1.215595,2.14121711664517E-15
1.2230925,2.13873948024782E-15
1.23059,2.13625255464927E-15
1.2380875,2.13375642349017E-15
1.245585,2.13125117030838E-15
1.2530825,2.12873687853323E-15
1.26058,2.12621363147997E-15
1.2680775,2.12368151234426E-15
1.275575,2.12114060419681E-15
1.2830725,2.11859098997805E-15
1.29057,2.11603275249297E-15
1.2980675,2.11346597440599E-15
1.305565,2.11089073823598E-15
1.3130625,2.10830712635139E-15
1.32056,2.10571522096538E-15
1.3280575,2.1031151041312E-15
1.335555,2.10050685773755E-15
1.3430525,2.0978905635041E-15
1.35055,2.0952663029771E-15
1.3580475,2.09263415752506E-15
1.365545,2.08999420833459E-15
1.3730425,2.08734653640631E-15
1.38054,2.08469122255086E-15
1.3880375,2.082028347385E-15
1.395535,2.07935799132788E-15
1.4030325,2.07668023459731E-15
1.41053,2.07399515720624E-15
1.4180275,2.07130283895925E-15
1.425525,2.06860335944922E-15
1.4330225,2.06589679805409E-15
1.44052,2.06318323393365E-15
1.4480175,2.06046274602655E-15
1.455515,2.05773541304733E-15
1.4630125,2.05500131348362E-15
1.47051,2.05226052559337E-15
1.4780075,2.04951312740224E-15
1.485505,2.04675919670113E-15
1.4930025,2.04399881104369E-15
1.5005,2.04123204774412E-15
1.5079975,2.03845898387487E-15
1.515495,2.03567969626462E-15
1.5229925,2.03289426149631E-15
1.53049,2.0301027559052E-15
1.5379875,2.02730525557718E-15
1.545485,2.02450183634706E-15
1.5529825,2.02169257379706E-15
1.56048,2.01887754325535E-15
1.5679775,2.01605681979471E-15
1.575475,2.01323047823132E-15
1.5829725,2.01039859312364E-15
1.59047,2.00756123877141E-15
1.5979675,2.00471848921475E-15
1.605465,2.00187041823335E-15
1.6129625,1.99901709934583E-15
1.62046,1.99615860580914E-15
1.6279575,1.99329501061809E-15
1.635455,1.99042638650503E-15
1.6429525,1.9875528059396E-15
1.65045,1.98467434112857E-15
1.6579475,1.98179106401584E-15
1.665445,1.97890304628253E-15
1.6729425,1.97601035934717E-15
1.68044,1.97311307436601E-15
