Freq [GHz],barium-dipole | output_power [],"barium-loop | mag(S(waveport1:1,antenna))**2 []",ferrite-dipole | output_power [],"ferrite-loop | mag(S(waveport1:1,antenna))**2 []",silver-dipole | output_power [],"silver-loop | mag(S(waveport1:1,antenna))**2 []"
0.9703826470588236,1.3045810511584926e-05,1.4186809483898138e-05,2.3488554742024317e-06,3.1480307107077913e-06,6.4129001216295774e-09,2.7727313233902885e-13
0.9778171428571429,1.3238546962410217e-05,1.439926153309226e-05,2.383406109700253e-06,3.1948233816112926e-06,6.511807282024526e-09,2.768772164915851e-13
0.9852516386554623,1.3432577848073444e-05,1.4613177389056239e-05,2.4181834916809865e-06,3.2419287196869e-06,6.611521321105325e-09,2.7647961523775566e-13
0.9926861344537816,1.3627901142225514e-05,1.4828554267583488e-05,2.4531870487423207e-06,3.289345907837947e-06,6.712043706394083e-09,2.760803978181164e-13
1.0001206302521009,1.3824514304199204e-05,1.5045389390902688e-05,2.488416363432997e-06,3.3370741296253677e-06,6.813377717930682e-09,2.756796305710088e-13
1.0075551260504203,1.4022414720654134e-05,1.5263679988139383e-05,2.523871040055046e-06,3.385112569410081e-06,6.915526891863824e-09,2.752773770727351e-13
1.0149896218487395,1.4221599904776525e-05,1.5483423295775477e-05,2.5595506698873836e-06,3.4334604124935837e-06,7.018494517918599e-09,2.7487369827041763e-13
1.0224241176470588,1.4422068315108951e-05,1.570461655810725e-05,2.5954547469054307e-06,3.4821168452567447e-06,7.1222820446413955e-09,2.7446865260791995e-13
1.0298586134453782,1.4623818837948102e-05,1.5927257027701045e-05,2.6315827210567963e-06,3.5310810552967224e-06,7.2268900874834674e-09,2.74062296145215e-13
1.0372931092436977,1.4826850338979093e-05,1.6151341965846826e-05,2.667934043533167e-06,3.580352231561729e-06,7.332319294170279e-09,2.736546826715381e-13
1.044727605042017,1.5031160835120125e-05,1.6376868643009868e-05,2.7045082201056427e-06,3.629929564483862e-06,7.438571671489958e-09,2.732458638126788e-13
1.0521621008403361,1.5236747260194696e-05,1.660383433927999e-05,2.741304826193045e-06,3.6798122461096756e-06,7.545650960503747e-09,2.728358891327159e-13
1.0595965966386556,1.5443606477570747e-05,1.6832236344818744e-05,2.7783234417447435e-06,3.7299994702285204e-06,7.653561015089969e-09,2.7242480623050573e-13
1.0670310924369748,1.565173586424776e-05,1.7062071960303612e-05,2.815563602672676e-06,3.780490432498622e-06,7.762305352363802e-09,2.720126608312023e-13
1.0744655882352943,1.5861134749929283e-05,1.7293338497370926e-05,2.853024677469041e-06,3.831284330570754e-06,7.871886209147748e-09,2.715994968730698e-13
1.0819000840336135,1.6071802928288892e-05,1.7526033279055172e-05,2.890705994846454e-06,3.88238036420957e-06,7.982305518061773e-09,2.7118535658985857e-13
1.089334579831933,1.628374007070455e-05,1.776015364022671e-05,2.928606901600008e-06,3.933777735412429e-06,8.093565042273396e-09,2.7077028058896443e-13
1.0967690756302522,1.6496944201646888e-05,1.7995696928025777e-05,2.966726988034393e-06,3.985475648525691e-06,8.205664263000653e-09,2.703543079256067e-13
