"Freq [GHz]","dB(S(waveport1:1,antenna)) []"
0.6232925,-66.3665421042847
0.63079,-66.2598411491124
0.6382875,-66.1543353834008
0.645785,-66.0499962156073
0.6532825,-65.9467960475301
0.66078,-65.8447082289937
0.6682775,-65.7437070150917
0.675775,-65.6437675258133
0.6832725,-65.5448657078979
0.69077,-65.4469782987696
0.6982675,-65.3500827924191
0.705765,-65.254157407106
0.7132625,-65.1591810547684
0.72076,-65.0651333120303
0.7282575,-64.9719943927092
0.735755,-64.8797451217314
0.7432525,-64.7883669103687
0.75075,-64.6978417327179
0.7582475,-64.6081521033475
0.765745,-64.5192810560448
0.7732425,-64.4312121235971
0.78074,-64.3439293185479
0.7882375,-64.2574171148726
0.795735,-64.1716604305206
0.8032325,-64.0866446107758
0.81073,-64.0023554123891
0.8182275,-63.9187789884411
0.825725,-63.8359018738946
0.8332225,-63.7537109717991
0.84072,-63.6721935401128
0.8482175,-63.5913371791094
0.855715,-63.5111298193377
0.8632125,-63.4315597101067
0.87071,-63.3526154084671
0.8782075,-63.2742857686652
0.885705,-63.1965599320445
0.8932025,-63.1194273173719
0.9007,-63.0428776115676
0.9081975,-62.9669007608192
0.915695,-62.8914869620603
0.9231925,-62.8166266547951
0.93069,-62.7423105132544
0.9381875,-62.6685294388647
0.945685,-62.5952745530166
0.9531825,-62.5225371901184
0.96068,-62.4503088909211
0.9681775,-62.378581396102
0.975675,-62.3073466400957
0.9831725,-62.23659674516
0.99067,-62.1663240156672
0.9981675,-62.0965209326096
1.005665,-62.0271801483101
1.0131625,-61.9582944813288
1.02066,-61.8898569115564
1.0281575,-61.821860575487
1.035655,-61.7542987616621
1.0431525,-61.6871649062772
1.05065,-61.6204525889472
1.0581475,-61.5541555286198
1.065645,-61.4882675796334
1.0731425,-61.4227827279132
1.08064,-61.3576950872981
1.0881375,-61.2929988959945
1.095635,-61.2286885131514
1.1031325,-61.1647584155517
1.11063,-61.1012031944148
1.1181275,-61.0380175523064
1.125625,-60.975196300151
1.1331225,-60.912734354343
1.14062,-60.8506267339523
1.1481175,-60.7888685580217
1.155615,-60.7274550429506
1.1631125,-60.6663814999639
1.17061,-60.6056433326609
1.1781075,-60.5452360346424
1.185605,-60.4851551872123
1.1931025,-60.4253964571518
1.2006,-60.3659555945615
1.2080975,-60.3068284307718
1.215595,-60.2480108763165
1.2230925,-60.1894989189682
1.23059,-60.1312886218343
1.2380875,-60.073376121509
1.245585,-60.0157576262815
1.2530825,-59.9584294143977
1.26058,-59.901387832373
1.2680775,-59.8446292933544
1.275575,-59.7881502755318
1.2830725,-59.7319473205938
1.29057,-59.6760170322302
1.2980675,-59.6203560746763
1.305565,-59.5649611713004
1.3130625,-59.5098291032325
1.32056,-59.4549567080351
1.3280575,-59.4003408784204
1.335555,-59.3459785610317
1.3430525,-59.2918667553696
1.35055,-59.2380025134628
1.3580475,-59.184382956804
1.365545,-59.1310051380851
1.3730425,-59.0778663871304
1.38054,-59.0249638855217
1.3880375,-58.9722949294191
1.395535,-58.919856855527
1.4030325,-58.8676470439598
1.41053,-58.8156629176848
1.4180275,-58.763901941677
1.425525,-58.7123616220374
1.4330225,-58.6610395051174
1.44052,-58.6099331766605
1.4480175,-58.5590402609644
1.455515,-58.5083584200619
1.4630125,-58.4578853529243
1.47051,-58.4076187946828
1.4780075,-58.357556515871
1.485505,-58.3076963216851
1.4930025,-58.258036051263
1.5005,-58.2085735769816
1.5079975,-58.1593068037707
1.515495,-58.1102336684446
1.5229925,-58.0613521390497
1.53049,-58.0126602142275
1.5379875,-57.964155922594
1.545485,-57.9158373221334
1.5529825,-57.8677024996066
1.56048,-57.8197495699741
1.5679775,-57.771976675832
1.575475,-57.724381986862
1.5829725,-57.6769636992945
1.59047,-57.6297200353832
1.5979675,-57.5826492428937
1.605465,-57.5357495946026
1.6129625,-57.4890193878087
1.62046,-57.4424569438559
1.6279575,-57.3960606076668
1.635455,-57.3498287472862
1.6429525,-57.3037597534368
1.65045,-57.257852039083
1.6579475,-57.2121040390064
1.665445,-57.1665142093893
1.6729425,-57.1210810274087
1.68044,-57.0758029908386
1.6879375,-57.0306786176619
1.695435,-56.9857064456903
1.7029325,-56.9408850321928
1.71043,-56.8962129535325
1.7179275,-56.8516888048113
1.725425,-56.8073111995221
1.7329225,-56.7630787692094
1.74042,-56.7189901631358
1.7479175,-56.6750440479573
1.755415,-56.6312391074045
1.7629125,-56.5875740419712
1.77041,-56.5440475686092
1.7779075,-56.50065842043
1.785405,-56.4574053464128
1.7929025,-56.4142871111181
1.8004,-56.3713024944081
1.8078975,-56.3284502911726
1.815395,-56.2857293110605
1.8228925,-56.2431383782167
1.83039,-56.2006763310257
1.8378875,-56.1583420218585
1.845385,-56.1161343168261
1.8528825,-56.0740520955384
1.86038,-56.0320942508661
1.8678775,-55.9902596887095
1.875375,-55.948547327771
1.8828725,-55.9069560993321
1.89037,-55.8654849470351
1.8978675,-55.8241328266696
1.905365,-55.7828987059623
1.9128625,-55.7417815643715
1.92036,-55.7007803928862
1.9278575,-55.6598941938278
1.935355,-55.6191219806574
1.9428525,-55.5784627777848
1.95035,-55.5379156203835
1.9578475,-55.4974795542071
1.965345,-55.4571536354113
1.9728425,-55.4169369303771
1.98034,-55.3768285155395
1.9878375,-55.3368274772181
1.995335,-55.2969329114512
2.0028325,-55.2571439238332
2.01033,-55.217459629355
2.0178275,-55.1778791522473
2.025325,-55.1384016258268
2.0328225,-55.0990261923453
2.04032,-55.0597520028413
2.0478175,-55.020578216995
2.055315,-54.9815040029849
2.0628125,-54.942528537348
2.07031,-54.9036510048418
2.0778075,-54.8648705983091
2.085305,-54.8261865185452
2.0928025,-54.7875979741671
2.1003,-54.7491041814855
2.1077975,-54.7107043643786
2.115295,-54.6723977541686
2.1227925,-54.6341835894993
2.13029,-54.5960611162172
2.1377875,-54.5580295872535
2.145285,-54.5200882625086
2.1527825,-54.4822364087382
2.16028,-54.4444732994418
2.1677775,-54.4067982147528
2.175275,-54.3692104413299
2.1827725,-54.331709272251
2.19027,-54.2942940069088
2.1977675,-54.2569639509072
2.205265,-54.2197184159605
2.2127625,-54.1825567197932
2.22026,-54.1454781860421
2.2277575,-54.1084821441595
2.235255,-54.0715679293181
2.2427525,-54.0347348823171
2.25025,-53.9979823494899
2.2577475,-53.9613096826133
2.265245,-53.9247162388175
2.2727425,-53.8882013804979
2.28024,-53.8517644752274
2.2877375,-53.81540489567
2.295235,-53.7791220194929
2.3027325,-53.7429152292728
2.31023,-53.7067839123605
2.3177275,-53.6707274600784
2.325225,-53.634745275216
2.3327225,-53.5988367496626
2.34022,-53.5630012950669
2.3477175,-53.5272383211347
2.355215,-53.4915472426216
2.3627125,-53.4559274786463
2.37021,-53.4203784525684
2.3777075,-53.3848995919058
2.385205,-53.3494903282598
2.3927025,-53.3141500972439
2.4002,-53.2788783384127
2.4076975,-53.2436744951932
2.415195,-53.2085380148163
2.4226925,-53.1734683482498
2.43019,-53.1384649501313
2.4376875,-53.1035272787033
2.445185,-53.0686547957476
2.4526825,-53.0338469665217
2.46018,-52.9991032596952
2.4676775,-52.9644231472875
2.475175,-52.9298061046059
2.4826725,-52.895251610184
2.49017,-52.8607591457221
2.4976675,-52.826328196027
2.505165,-52.7919582489531
2.5126625,-52.7576487953441
2.52016,-52.723399328975
2.5276575,-52.6892093464958
2.535155,-52.6550783473745
2.5426525,-52.6210058338414
2.55015,-52.5869913108344
2.5576475,-52.5530342859442
2.565145,-52.5191342693603
2.5726425,-52.4852907738181
2.58014,-52.4515033145462
2.5876375,-52.4177714092137
2.595135,-52.3840945778797
2.6026325,-52.3504723429417
2.61013,-52.3169042290851
2.6176275,-52.2833897632344
2.625125,-52.2499284745029
2.6326225,-52.2165198941451
2.64012,-52.1831635555077
2.6476175,-52.1498589939829
2.655115,-52.1166057469609
2.6626125,-52.0834033537841
2.67011,-52.0502513557006
2.6776075,-52.0171492958195
2.685105,-51.9840967190661
2.6926025,-51.9510931721376
2.7001,-51.9181382034595
2.7075975,-51.8852313631427
2.715095,-51.8523722029412
2.7225925,-51.8195602762098
2.73009,-51.7867951378632
2.7375875,-51.7540763443345
2.745085,-51.7214034535359
2.7525825,-51.6887760248187
2.76008,-51.6561936189338
2.7675775,-51.6236557979938
2.775075,-51.591162125435
2.7825725,-51.5587121659797
2.79007,-51.5263054856
2.7975675,-51.4939416514812
2.805065,-51.4616202319867
2.8125625,-51.4293407966227
2.82006,-51.3971029160041
2.8275575,-51.3649061618208
2.835055,-51.3327501068046
2.8425525,-51.3006343246968
2.85005,-51.2685583902164
2.8575475,-51.2365218790288
2.865045,-51.2045243677156
2.8725425,-51.1725654337446
2.88004,-51.1406446554405
2.8875375,-51.108761611957
2.895035,-51.0769158832481
2.9025325,-51.0451070500417
2.91003,-51.013334693813
2.9175275,-50.9815983967587
2.925025,-50.9498977417722
2.9325225,-50.9182323124192
2.94002,-50.8866016929144
2.9475175,-50.8550054680985
2.955015,-50.8234432234164
2.9625125,-50.7919145448959
2.97001,-50.7604190191273
2.9775075,-50.7289562332435
2.985005,-50.6975257749015
2.9925025,-50.6661272322641
3,-50.6347601939827

