# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
3.908700000000000000e-01,1.463223046035049511e-03,1.414329357028160112e-05
3.983675000000000000e-01,1.491358061249115075e-03,1.469191069195555293e-05
4.058650000000000000e-01,1.519497210504558308e-03,1.525101772660041877e-05
4.133625000000000000e-01,1.547640569655391084e-03,1.582061847500798073e-05
4.208600000000000000e-01,1.575788214459419682e-03,1.640071680830013377e-05
4.283575000000000000e-01,1.603940220577589277e-03,1.699131666790139114e-05
4.358550000000000000e-01,1.632096663573394130e-03,1.759242206550349524e-05
4.433525000000000000e-01,1.660257618912301886e-03,1.820403708307318836e-05
4.508500000000000000e-01,1.688423161961217969e-03,1.882616587282456554e-05
4.583475000000000000e-01,1.716593367988135171e-03,1.945881265714871655e-05
4.658450000000000000e-01,1.744768312161778471e-03,2.010198172866074984e-05
4.733425000000000000e-01,1.772948069551109765e-03,2.075567745010838751e-05
4.808400000000000000e-01,1.801132715125245256e-03,2.141990425441838607e-05
4.883375000000000000e-01,1.829322323753300840e-03,2.209466664458722857e-05
4.958350000000000000e-01,1.857516970204091140e-03,2.277996919372599020e-05
5.033324999999999404e-01,1.885716729146152265e-03,2.347581654502595220e-05
5.108300000000000000e-01,1.913921675147869537e-03,2.418221341173052436e-05
5.183275000000000596e-01,1.942131882677288401e-03,2.489916457709986954e-05
5.258250000000000000e-01,1.970347426102440555e-03,2.562667489439514213e-05
5.333225000000000596e-01,1.998568379691512652e-03,2.636474928687558772e-05
5.408200000000000000e-01,2.026794817612940190e-03,2.711339274774493958e-05
5.483175000000000000e-01,2.055026813936041558e-03,2.787261034018013976e-05
5.558150000000000000e-01,2.083264442631089803e-03,2.864240719724742525e-05
5.633125000000000000e-01,2.111507777569994384e-03,2.942278852194837613e-05
5.708100000000000000e-01,2.139756892526597804e-03,3.021375958715404346e-05
5.783075000000000000e-01,2.168011861177520424e-03,3.101532573558850667e-05
5.858050000000000000e-01,2.196272757102719474e-03,3.182749237984298517e-05
5.933025000000000000e-01,2.224539653786143482e-03,3.265026500233473352e-05
6.008000000000000000e-01,2.252812624616590525e-03,3.348364915531266571e-05
6.082975000000000000e-01,2.281091742888510538e-03,3.432765046076977875e-05
6.157950000000000000e-01,2.309377081803074775e-03,3.518227461055247412e-05
6.232925000000000000e-01,2.337668714468998932e-03,3.604752736622066859e-05
6.307900000000000000e-01,2.365966713903763091e-03,3.692341455912039511e-05
6.382875000000000000e-01,2.394271153034623935e-03,3.780994209031110026e-05
6.457850000000000000e-01,2.422582104699852034e-03,3.870711593062930729e-05
6.532825000000000000e-01,2.450899641650036362e-03,3.961494212055256901e-05
6.607800000000000000e-01,2.479223836549450822e-03,4.053342677033443069e-05
6.682775000000000000e-01,2.507554761977287203e-03,4.146257605991438027e-05
6.757750000000000000e-01,2.535892490429441076e-03,4.240239623888805991e-05
6.832725000000000000e-01,2.564237094319821511e-03,4.335289362653582115e-05
6.907700000000000000e-01,2.592588645981919269e-03,4.431407461186234574e-05
6.982675000000000000e-01,2.620947217670722799e-03,4.528594565346311937e-05
7.057650000000000000e-01,2.649312881564395723e-03,4.626851327964728530e-05
7.132625000000000000e-01,2.677685709765868002e-03,4.726178408834559564e-05
7.207600000000000000e-01,2.706065774305151800e-03,4.826576474722090506e-05
7.282575000000000000e-01,2.734453147140891455e-03,4.928046199349249618e-05
7.357550000000000000e-01,2.762847900162598239e-03,5.030588263408625514e-05
7.432525000000000000e-01,2.791250105192743733e-03,5.134203354557559607e-05
7.507500000000000000e-01,2.819659833988954686e-03,5.238892167416290098e-05
7.582475000000000000e-01,2.848077158246098591e-03,5.344655403577318125e-05
7.657450000000000000e-01,2.876502149598588257e-03,5.451493771590707333e-05
7.732425000000000000e-01,2.904934879623072806e-03,5.559407986981224439e-05
7.807400000000000000e-01,2.933375419840390970e-03,5.668398772235887841e-05
7.882375000000000000e-01,2.961823841718377870e-03,5.778466856812975312e-05
7.957350000000000000e-01,2.990280216674391211e-03,5.889612977138301793e-05
8.032325000000000000e-01,3.018744616077941988e-03,6.001837876609591440e-05
8.107300000000000000e-01,3.047217111253300911e-03,6.115142305596475594e-05
8.182275000000000000e-01,3.075697773482231889e-03,6.229527021439676914e-05
8.257250000000000000e-01,3.104166183762782985e-03,6.344950906164129219e-05
8.332225000000000000e-01,3.132451489167155205e-03,6.461061035344327602e-05
8.407200000000000000e-01,3.160745161124164752e-03,6.578245848189878285e-05
8.482175000000000000e-01,3.189047269466985593e-03,6.696506125502868479e-05
8.557150000000000000e-01,3.217357884028712329e-03,6.815842655012686467e-05
8.632125000000000000e-01,3.245677074644115739e-03,6.936256231390732874e-05
8.707100000000000000e-01,3.274004911151718374e-03,7.057747656233437990e-05
8.782075000000000000e-01,3.302341463396168963e-03,7.180317738085795741e-05
8.857050000000000000e-01,3.330686801230205683e-03,7.303967292422083857e-05
8.932025000000000000e-01,3.359040994517485928e-03,7.428697141672699236e-05
9.007000000000000000e-01,3.387404113134778998e-03,7.554508115205985357e-05
9.081975000000000000e-01,3.415776226974774621e-03,7.681401049344178185e-05
9.156950000000000000e-01,3.444157405948649470e-03,7.809376787363667735e-05
9.231925000000000000e-01,3.472547719988994946e-03,7.938436179497064830e-05
9.306900000000000000e-01,3.500947239052746261e-03,8.068580082938475750e-05
9.381875000000000000e-01,3.529356033124221668e-03,8.199809361852476708e-05
