# Frequency (GHz),Output Power (W)
1.455515000000000000e+00,1.122784749686397680e+01
1.463012500000000000e+00,1.134491733565608408e+01
1.470510000000000000e+00,1.146261128389747769e+01
1.478007500000000000e+00,1.158092970277541876e+01
1.485505000000000000e+00,1.169987295613765316e+01
1.493002500000000000e+00,1.181944141051684335e+01
1.500500000000000000e+00,1.193963543515162218e+01
1.507997500000000000e+00,1.206045540201068933e+01
1.515495000000000000e+00,1.218190168581631982e+01
1.522992500000000000e+00,1.230397466406732203e+01
1.530490000000000000e+00,1.242667471706262754e+01
1.537987500000000000e+00,1.255000222792494033e+01
1.545485000000000000e+00,1.267395758262480431e+01
1.552982500000000000e+00,1.279854117000390016e+01
1.560480000000000000e+00,1.292375338179919593e+01
1.567977500000000000e+00,1.304959461266694009e+01
1.575475000000000000e+00,1.317606526020800135e+01
1.582972500000000000e+00,1.330316572498942059e+01
1.590470000000000000e+00,1.343089641057135498e+01
1.597967500000000000e+00,1.355925772353011047e+01
1.605465000000000000e+00,1.368825007348290908e+01
1.612962500000000000e+00,1.381787387311272555e+01
1.620460000000000000e+00,1.394812953819184843e+01
1.627957500000000000e+00,1.407901748760764854e+01
1.635455000000000000e+00,1.421053814338638903e+01
1.642952500000000000e+00,1.434269193071843817e+01
1.650450000000000000e+00,1.447547927798318909e+01
1.657947500000000000e+00,1.460890061677329674e+01
1.665445000000000000e+00,1.474295638191914021e+01
1.672942500000000000e+00,1.487764701151500962e+01
1.680440000000000000e+00,1.501297294694274851e+01
1.687937500000000000e+00,1.514893463289652612e+01
1.695435000000000000e+00,1.528553251740884133e+01
1.702932500000000000e+00,1.542276705187402617e+01
1.710430000000000000e+00,1.556063869107430215e+01
1.717927500000000000e+00,1.569914789320294332e+01
1.725425000000000000e+00,1.583829511989096454e+01
1.732922500000000000e+00,1.597808083623057074e+01
1.740420000000000000e+00,1.611850551080104563e+01
1.747917500000000000e+00,1.625956961569157417e+01
1.755415000000000000e+00,1.640127362652806642e+01
1.762912500000000000e+00,1.654361802249702690e+01
1.770410000000000000e+00,1.668660328636928508e+01
1.777907500000000000e+00,1.683022990452525390e+01
1.785405000000000000e+00,1.697449836698024589e+01
1.792902500000000000e+00,1.711940916740701781e+01
1.800400000000000000e+00,1.726496280316201171e+01
1.807897500000000000e+00,1.741115977530794363e+01
1.815395000000000000e+00,1.755800058863947545e+01
1.822892500000000000e+00,1.770548575170706056e+01
1.830390000000000000e+00,1.785361577683979684e+01
1.837887500000000000e+00,1.800239118017053270e+01
