# Frequency (GHz),Output Power (W)
1.845385000000000000e+00,1.815181248166009560e+01
1.852882500000000000e+00,1.830188020511984006e+01
1.860380000000000000e+00,1.845259487823679102e+01
1.867877500000000000e+00,1.860395703259504327e+01
1.875375000000000000e+00,1.875596720370251071e+01
1.882872500000000000e+00,1.890862593101086896e+01
1.890370000000000000e+00,1.906193375794119330e+01
1.897867500000000000e+00,1.921589123190668965e+01
1.905365000000000000e+00,1.937049890433489705e+01
1.912862500000000000e+00,1.952575733069102505e+01
1.920360000000000000e+00,1.968166707050090494e+01
1.927857500000000000e+00,1.983822868737497095e+01
1.935355000000000000e+00,1.999544274902833831e+01
1.942852500000000000e+00,2.015330982730454730e+01
1.950350000000000000e+00,2.031183049819795537e+01
1.957847500000000000e+00,2.047100534187625470e+01
1.965345000000000000e+00,2.063083494270187164e+01
1.972842500000000000e+00,2.079131988925440966e+01
1.980340000000000000e+00,2.095246077435140172e+01
1.987837500000000000e+00,2.111425819507244724e+01
1.995335000000000000e+00,2.127671275277706085e+01
2.002832499999999762e+00,2.143982505313016805e+01
2.010330000000000238e+00,2.160359570611998097e+01
2.017827500000000000e+00,2.176802532608172213e+01
2.025325000000000000e+00,2.193311453171692995e+01
2.032822500000000000e+00,2.209886394611449911e+01
2.040320000000000000e+00,2.226527419677386209e+01
2.047817499999999762e+00,2.243234591562150973e+01
2.055314999999999762e+00,2.260007973903472510e+01
2.062812500000000238e+00,2.276847630786184789e+01
2.070310000000000000e+00,2.293753626744053647e+01
2.077807500000000000e+00,2.310726026761916055e+01
2.085305000000000000e+00,2.327764896277774995e+01
2.092802500000000000e+00,2.344870301184663958e+01
2.100299999999999762e+00,2.362042307832588333e+01
2.107797500000000238e+00,2.379280983030639950e+01
2.115295000000000238e+00,2.396586394048985907e+01
2.122792500000000000e+00,2.413958608620559248e+01
2.130290000000000000e+00,2.431397694943278871e+01
2.137787500000000000e+00,2.448903721681887585e+01
2.145285000000000000e+00,2.466476757969763409e+01
2.152782500000000000e+00,2.484116873411006319e+01
2.160280000000000000e+00,2.501824138082333571e+01
2.167777500000000000e+00,2.519598622534760215e+01
2.175275000000000000e+00,2.537440397795893195e+01
2.182772500000000000e+00,2.555349535371356404e+01
2.190270000000000000e+00,2.573326107247091897e+01
2.197767500000000000e+00,2.591370185890879132e+01
2.205265000000000000e+00,2.609481844254619924e+01
2.212762500000000000e+00,2.627661155775722841e+01
2.220260000000000000e+00,2.645908194379382054e+01
2.227757500000000000e+00,2.664223034480286316e+01
2.235255000000000000e+00,2.682605750984518009e+01
2.242752500000000000e+00,2.701056419291252968e+01
2.250250000000000000e+00,2.719575115295024093e+01
2.257747500000000000e+00,2.738161915387215175e+01
2.265245000000000000e+00,2.756816896458011787e+01
2.272742500000000000e+00,2.775540135898536476e+01
2.280240000000000000e+00,2.794331711602360217e+01
2.287737500000000000e+00,2.813191701967660311e+01
2.295235000000000000e+00,2.832120185899071659e+01
2.302732500000000000e+00,2.851117242809642730e+01
2.310230000000000000e+00,2.870182952622419518e+01
2.317727500000000000e+00,2.889317395772938183e+01
2.325225000000000000e+00,2.908520653210658235e+01
2.332722500000000000e+00,2.927792806401321692e+01
2.340220000000000000e+00,2.947133937328448935e+01
2.347717500000000000e+00,2.966544128495972985e+01
2.355215000000000000e+00,2.986023462929594414e+01
2.362712500000000000e+00,3.005572024179169302e+01
2.370210000000000000e+00,3.025189896320937272e+01
2.377707500000000000e+00,3.044877163958874369e+01
2.385205000000000000e+00,3.064633912227763391e+01
2.392702500000000000e+00,3.084460226794397006e+01
2.400200000000000000e+00,3.104356193860312660e+01
2.407697500000000000e+00,3.124321900163841713e+01
2.415195000000000000e+00,3.144357432982192467e+01
2.422692500000000000e+00,3.164462880133706658e+01
2.430190000000000000e+00,3.184638329980257580e+01
2.437687500000000000e+00,3.204883871429536392e+01
2.445185000000000000e+00,3.225199593937169701e+01
2.452682500000000000e+00,3.245585587509562886e+01
2.460180000000000000e+00,3.266041942705793383e+01
2.467677500000000000e+00,3.286568750640546160e+01
2.475175000000000000e+00,3.307166102986266543e+01
2.482672500000000000e+00,3.327834091975987265e+01
2.490170000000000000e+00,3.348572810405793678e+01
2.497667500000000000e+00,3.369382351637698238e+01
2.505165000000000000e+00,3.390262809602012200e+01
2.512662500000000000e+00,3.411214278800412558e+01
2.520160000000000000e+00,3.432236854308765706e+01
2.527657500000000000e+00,3.453330631779886063e+01
2.535155000000000000e+00,3.474495707446485776e+01
2.542652500000000000e+00,3.495732178124517453e+01
2.550150000000000000e+00,3.517040141215810805e+01
2.557647500000000000e+00,3.538419694711537352e+01
2.565145000000000000e+00,3.559870937195334277e+01
2.572642500000000000e+00,3.581393967846939897e+01
2.580140000000000000e+00,3.602988886444933979e+01
2.587637500000000000e+00,3.624655793370743190e+01
2.595135000000000000e+00,3.646394789612176953e+01
2.602632500000000000e+00,3.668205976766772213e+01
2.610130000000000000e+00,3.690089457045689781e+01
2.617627500000000000e+00,3.712045333277637122e+01
2.625125000000000000e+00,3.734073708912651534e+01
2.632622500000000000e+00,3.756174688026118482e+01
2.640120000000000000e+00,3.778348375322950511e+01
2.647617500000000000e+00,3.800594876141666562e+01
2.655115000000000000e+00,3.822914296458875146e+01
2.662612500000000000e+00,3.845306742893658586e+01
