"Freq [GHz]","sqrt((1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))/(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2)))) []"
2.0928025,0025.877455204627
2.1003,0025.9737045880018
2.1077975,0026.0699932930237
2.115295,0026.166321485521
2.1227925,0026.2626893316974
2.13029,0026.35909699815
2.1377875,0026.4555446516444
2.145285,0026.5520324594376
2.1527825,0026.6485605891218
2.16028,0026.7451292086717
2.1677775,0026.8417384862783
2.175275,0026.9383885907459
2.1827725,0027.0350796910785
2.19027,0027.1318119565836
2.1977675,0027.2285855571985
2.205265,0027.3254006629822
2.2127625,0027.4222574444621
2.22026,0027.5191560727038
2.2277575,0027.6160967189675
2.235255,0027.7130795549558
2.2427525,0027.8101047528593
2.25025,0027.9071724851583
2.2577475,0028.0042829248816
2.265245,0028.1014362453445
2.2727425,0028.1986326202413
2.28024,0028.2958722239099
2.2877375,0028.3931552309025
2.295235,0028.4904818164286
2.3027325,0028.5878521557778
2.31023,0028.6852664250369
2.3177275,0028.7827248005334
2.325225,0028.8802274591665
2.3327225,0028.9777745782474
2.34022,0029.0753663355534
2.3477175,0029.1730029091904
2.355215,0029.2706844781495
2.3627125,0029.3684112214479
2.37021,0029.466183318786
2.3777075,0029.5640009503134
2.385205,0029.6618642968773
2.3927025,0029.7597735395079
2.4002,0029.8577288599896
2.4076975,0029.9557304405484
2.415195,0030.0537784638633
2.4226925,0030.1518731133018
2.43019,0030.2500145726259
2.4376875,0030.3482030262828
2.445185,0030.4464386591752
2.4526825,0030.5447216568275
2.46018,0030.6430522051992
2.4676775,0030.7414304909651
2.475175,0030.8398567014819
2.4826725,0030.9383310244255
2.49017,0031.0368536482767
2.4976675,0031.1354247621808
2.505165,0031.2340445556614
2.5126625,0031.332713219105
2.52016,0031.4314309434313
2.5276575,0031.5301979202549
2.535155,0031.6290143417759
2.5426525,0031.7278804010172
2.55015,0031.8267962915423
2.5576475,0031.9257622076119
2.565145,0032.0247783442539
2.5726425,0032.1238448973237
2.58014,0032.2229620630202
2.5876375,0032.322130038796
2.595135,0032.4213490224104
2.6026325,0032.5206192126909
2.61013,0032.6199408091205
2.6176275,0032.7193140118954
2.625125,0032.8187390221017
2.6326225,0032.918216041796
2.64012,0033.0177452736197
2.6476175,0033.1173269211051
2.655115,0033.2169611887803
2.6626125,0033.3166482820864
2.67011,0033.4163884070476
2.6776075,0033.5161817710185
2.685105,0033.6160285818989
2.6926025,0033.7159290488585
2.7001,0033.8158833818947
2.7075975,0033.915891791953
2.715095,0034.0159544909533
2.7225925,0034.1160716921295
2.73009,0034.2162436094211
2.7375875,0034.3164704579735
2.745085,0034.4167524541238
2.7525825,0034.5170898151152
2.76008,0034.6174827594977
2.7675775,0034.7179315070473
2.775075,0034.8184362783602
2.7825725,0034.9189972957223
2.79007,0035.0196147823701
2.7975675,0035.1202889628777
2.805065,0035.2210200631446
2.8125625,0035.3218083103713
2.82006,0035.4226539331192
2.8275575,0035.5235571613816
2.835055,0035.6245182265108
2.8425525,0035.7255373613186
2.85005,0035.8266148002722
2.8575475,0035.927750779085
2.865045,0036.0289455352782
2.8725425,0036.1301993079341
2.88004,0036.231512337675
2.8875375,0036.3328848669082
2.895035,0036.4343171397715
2.9025325,0036.5358094021028
2.91003,0036.637361901673
2.9175275,0036.7389748880691
2.925025,0036.8406486127673
2.9325225,0036.9423833292736
2.94002,0037.0441792931771
2.9475175,0037.1460367620675
2.955015,0037.2479559956086
2.9625125,0037.3499372558467
2.97001,0037.4519808069656
2.9775075,0037.5540869155465
2.985005,0037.6562558505744
2.9925025,0037.7584878834202
3,0037.8607832881103

