"Freq [GHz]","sqrt(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))*(1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna)))))))*sqrt(2) []"
2.1977675,19.8951618880269
2.205265,19.8944978187506
2.2127625,19.8938310826536
2.22026,19.8931616753297
2.2277575,19.8924895922058
2.235255,19.8918148287198
2.2427525,19.8911373803496
2.25025,19.8904572424672
2.2577475,19.8897744105203
2.265245,19.889088879843
2.2727425,19.8884006457182
2.28024,19.887709703561
2.2877375,19.8870160486121
2.295235,19.8863196762458
2.3027325,19.8856205815626
2.31023,19.8849187598863
2.3177275,19.8842142063725
2.325225,19.8835069162344
2.3327225,19.8827968846286
2.34022,19.8820841066882
2.3477175,19.8813685774259
2.355215,19.8806502921087
2.3627125,19.8799292456683
2.37021,19.879205433145
2.3777075,19.8784788495243
2.385205,19.8777494898989
2.3927025,19.8770173491191
2.4002,19.8762824221717
2.4076975,19.8755447039651
2.415195,19.8748041893337
2.4226925,19.8740608731887
2.43019,19.8733147503184
2.4376875,19.8725658155752
2.445185,19.8718140637194
2.4526825,19.8710594895228
2.46018,19.8703020876421
2.4676775,19.8695418527961
2.475175,19.8687787797368
2.4826725,19.8680128630105
2.49017,19.8672440972655
2.4976675,19.8664724771543
2.505165,19.8656979971457
2.5126625,19.8649206518281
2.52016,19.8641404356922
2.5276575,19.863357343228
2.535155,19.8625713688492
2.5426525,19.8617825070353
2.55015,19.8609907521475
2.5576475,19.8601960985205
2.565145,19.8593985404986
2.5726425,19.8585980724651
2.58014,19.8577946885353
2.5876375,19.8569883831119
2.595135,19.8561791502918
2.6026325,19.8553669843278
2.61013,19.8545518793656
2.6176275,19.853733829472
2.625125,19.8529128287336
2.6326225,19.8520888712956
2.64012,19.8512619511195
2.6476175,19.8504320621596
2.655115,19.8495991984153
2.6626125,19.8487633538711
2.67011,19.8479245222901
2.6776075,19.8470826976488
2.685105,19.8462378736592
2.6926025,19.8453900441879
2.7001,19.8445392029824
2.7075975,19.8436853437313
2.715095,19.8428284600678
2.7225925,19.8419685457556
2.73009,19.8411055943208
2.7375875,19.8402395993313
2.745085,19.8393705543738
2.7525825,19.8384984528757
2.76008,19.8376232883217
2.7675775,19.8367450541923
2.775075,19.8358637437166
2.7825725,19.8349793503544
2.79007,19.8340918673572
2.7975675,19.8332012879736
2.805065,19.832307605424
2.8125625,19.8314108128704
2.82006,19.8305109034314
2.8275575,19.8296078702038
2.835055,19.8287017062026
2.8425525,19.8277924043976
2.85005,19.8268799578013
2.8575475,19.8259643592211
2.865045,19.8250456015491
2.8725425,19.8241236776021
2.88004,19.8231985800877
2.8875375,19.8222703017147
2.895035,19.8213388351382
2.9025325,19.8204041729177
2.91003,19.8194663076172
2.9175275,19.8185252317141
2.925025,19.8175809376108
2.9325225,19.8166334176809
2.94002,19.8156826642678
2.9475175,19.8147286696081
2.955015,19.8137714258396
2.9625125,19.8128109251312
2.97001,19.811847159518
2.9775075,19.8108801210024
2.985005,19.8099098015204
2.9925025,19.8089361928926
3,19.807959286926

