# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
1.403032500000000000e+00,1.239270877005559318e-03,9.575862409091518562e-03
1.410530000000000000e+00,1.251691610546395647e-03,9.620345029483872573e-03
1.418027500000000000e+00,1.264162027652561545e-03,9.664735721858714115e-03
1.425525000000000000e+00,1.276681919039922937e-03,9.709034338044661774e-03
1.433022500000000000e+00,1.289251075533867728e-03,9.753240733424203140e-03
1.440520000000000000e+00,1.301869288081080028e-03,9.797354766916052671e-03
1.448017500000000000e+00,1.314536347762019749e-03,9.841376300957719453e-03
1.455515000000000000e+00,1.327252045802721327e-03,9.885305201487046278e-03
1.463012500000000000e+00,1.340016173586820996e-03,9.929141337925138228e-03
1.470510000000000000e+00,1.352828522667408632e-03,9.972884583157058669e-03
1.478007500000000000e+00,1.365688884778679677e-03,1.001653481351430161e-02
1.485505000000000000e+00,1.378597051847886730e-03,1.006009190875563342e-02
1.493002500000000000e+00,1.391552816006422048e-03,1.010355575204874290e-02
1.500500000000000000e+00,1.404555969601955622e-03,1.014692622995130508e-02
1.507997500000000000e+00,1.417606305209043226e-03,1.019020323239125912e-02
1.515495000000000000e+00,1.430703615641247366e-03,1.023338665264867352e-02
1.522992500000000000e+00,1.443847693961595275e-03,1.027647638733574301e-02
1.530490000000000000e+00,1.457038333494216093e-03,1.031947233637687221e-02
1.537987500000000000e+00,1.470275327834976668e-03,1.036237440299033093e-02
1.545485000000000000e+00,1.483558470862743383e-03,1.040518249366692745e-02
1.552982500000000000e+00,1.496887556749799822e-03,1.044789651815117293e-02
1.560480000000000000e+00,1.510262379972859446e-03,1.049051638942111522e-02
1.567977500000000000e+00,1.523682735323606419e-03,1.053304202366758813e-02
1.575475000000000000e+00,1.537148417918970597e-03,1.057547334027455349e-02
1.582972500000000000e+00,1.550659223211898856e-03,1.061781026179847882e-02
1.590470000000000000e+00,1.564214947001513634e-03,1.066005271394784501e-02
1.597967500000000000e+00,1.577815385443129877e-03,1.070220062556279973e-02
1.605465000000000000e+00,1.591460335058623912e-03,1.074425392859412742e-02
1.612962500000000000e+00,1.605149592746287325e-03,1.078621255808241697e-02
1.620460000000000000e+00,1.618882955790762164e-03,1.082807645213790769e-02
1.627957500000000000e+00,1.632660221872847539e-03,1.086984555191866826e-02
1.635455000000000000e+00,1.646481189079068794e-03,1.091151980161011309e-02
1.642952500000000000e+00,1.660345655911427088e-03,1.095309914840360797e-02
1.650450000000000000e+00,1.674253421296697728e-03,1.099458354247557883e-02
1.657947500000000000e+00,1.688204284595999334e-03,1.103597293696615897e-02
1.665445000000000000e+00,1.702198045613798798e-03,1.107726728795786070e-02
1.672942500000000000e+00,1.716234504607322799e-03,1.111846655445393288e-02
1.680440000000000000e+00,1.730313462295423113e-03,1.115957069835769172e-02
1.687937500000000000e+00,1.744434719867534725e-03,1.120057968445045508e-02
1.695435000000000000e+00,1.758598078992561512e-03,1.124149348037020539e-02
1.702932500000000000e+00,1.772803341827597140e-03,1.128231205658981363e-02
1.710430000000000000e+00,1.787050311026519957e-03,1.132303538639627995e-02
1.717927500000000000e+00,1.801338789748465827e-03,1.136366344586787862e-02
1.725425000000000000e+00,1.815668581666283815e-03,1.140419621385365366e-02
1.732922500000000000e+00,1.830039490974776127e-03,1.144463367195104955e-02
1.740420000000000000e+00,1.844451322398905089e-03,1.148497580448453598e-02
