# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
1.185605000000000000e+00,3.620864810045358595e-04,8.047630876788457871e-03
1.193102500000000000e+00,3.665081548860473827e-04,8.094661483827682302e-03
1.200600000000000000e+00,3.709535626133308528e-04,8.141625167449845213e-03
1.208097500000000000e+00,3.754226342924201127e-04,8.188521679770514872e-03
1.215595000000000000e+00,3.799152998378336359e-04,8.235350775414438176e-03
1.223092500000000000e+00,3.844314889765494832e-04,8.282112211512843158e-03
1.230590000000000000e+00,3.889711312522695238e-04,8.328805747699627796e-03
1.238087500000000000e+00,3.935341560295160389e-04,8.375431146108799560e-03
1.245585000000000000e+00,3.981204924976360603e-04,8.421988171369973811e-03
1.253082500000000000e+00,4.027300696749963106e-04,8.468476590605469867e-03
1.260580000000000000e+00,4.073628164131732655e-04,8.514896173425802461e-03
1.268077500000000000e+00,4.120186614009946802e-04,8.561246691925816776e-03
1.275575000000000000e+00,4.166975331686359756e-04,8.607527920680299593e-03
1.283072500000000000e+00,4.213993600919671307e-04,8.653739636739713609e-03
1.290570000000000000e+00,4.261240703963529736e-04,8.699881619625267348e-03
1.298067500000000000e+00,4.308715921611579874e-04,8.745953651324430908e-03
1.305565000000000000e+00,4.356418533235514260e-04,8.791955516285712702e-03
1.313062500000000000e+00,4.404347816829343285e-04,8.837887001413668661e-03
1.320560000000000000e+00,4.452503049047708728e-04,8.883747896063732760e-03
1.328057500000000000e+00,4.500883505250817974e-04,8.929537992036580898e-03
1.335555000000000000e+00,4.549488459542017581e-04,8.975257083572581521e-03
1.343052500000000000e+00,4.598317184812168593e-04,9.020904967346135214e-03
1.350550000000000000e+00,4.647368952779616191e-04,9.066481442459856446e-03
1.358047500000000000e+00,4.696643034030593034e-04,9.111986310438191516e-03
1.365545000000000000e+00,4.746138698062455068e-04,9.157419375221785909e-03
1.373042500000000000e+00,4.795855213323448442e-04,9.202780443160590504e-03
1.380540000000000000e+00,4.845791847253451651e-04,9.248069323007710243e-03
1.388037500000000000e+00,4.895947866327121905e-04,9.293285825912942291e-03
1.395535000000000000e+00,4.946322536092907438e-04,9.338429765415878769e-03
1.403032500000000000e+00,4.996915121214465108e-04,9.383500957438728474e-03
1.410530000000000000e+00,5.047724885511711010e-04,9.428499220280016357e-03
1.418027500000000000e+00,5.098751092002620257e-04,9.473424374606954218e-03
1.425525000000000000e+00,5.149993002943002024e-04,9.518276243448611090e-03
1.433022500000000000e+00,5.201449879866024140e-04,9.563054652188074031e-03
1.440520000000000000e+00,5.253120983625146406e-04,9.607759428555236875e-03
1.448017500000000000e+00,5.305005574434243669e-04,9.652390402619517862e-03
1.455515000000000000e+00,5.357102911905769734e-04,9.696947406781704706e-03
1.463012500000000000e+00,5.409412255093760079e-04,9.741430275766174360e-03
1.470510000000000000e+00,5.461932862532896740e-04,9.785838846613617581e-03
1.478007500000000000e+00,5.514663992278151083e-04,9.830172958672283787e-03
1.485505000000000000e+00,5.567604901946026849e-04,9.874432453590042957e-03
1.493002500000000000e+00,5.620754848752600478e-04,9.918617175306562034e-03
1.500500000000000000e+00,5.674113089556754750e-04,9.962726970044627831e-03
1.507997500000000000e+00,5.727678880894395124e-04,1.000676168630198343e-02
1.515495000000000000e+00,5.781451479023501589e-04,1.005072117484266843e-02
1.522992500000000000e+00,5.835430139960162124e-04,1.009460528868870617e-02
1.530490000000000000e+00,5.889614119518520128e-04,1.013841388311083509e-02
