# Frequency (GHz),Output Power (W)
9.007000000000000000e-01,1.182079178629878836e-05
9.081975000000000000e-01,1.200959744622694767e-05
9.156950000000000000e-01,1.219968965535667680e-05
9.231925000000000000e-01,1.239106220369981443e-05
9.306900000000000000e-01,1.258370885596545317e-05
9.381875000000000000e-01,1.277762335205979234e-05
9.456850000000000000e-01,1.297279940758133203e-05
9.531825000000000000e-01,1.316923071431873710e-05
9.606800000000000000e-01,1.336691094074637511e-05
9.681775000000000000e-01,1.356583373251903104e-05
9.756750000000000000e-01,1.376599271296570208e-05
9.831725000000000000e-01,1.396738148358424791e-05
9.906700000000000000e-01,1.416999362453233609e-05
9.981675000000000000e-01,1.437382269511884654e-05
1.005665000000000000e+00,1.457886223429475083e-05
1.013162500000000000e+00,1.478510576114075586e-05
1.020659999999999881e+00,1.499254677535629931e-05
1.028157500000000000e+00,1.520117875774491821e-05
1.035655000000000000e+00,1.541099517069975973e-05
1.043152499999999881e+00,1.562198945868691511e-05
1.050650000000000119e+00,1.583415504872761861e-05
1.058147500000000000e+00,1.604748535087864220e-05
1.065645000000000000e+00,1.626197375871181960e-05
1.073142500000000119e+00,1.647761364978954002e-05
1.080640000000000000e+00,1.669439838614306096e-05
1.088137500000000000e+00,1.691232131474380067e-05
1.095635000000000000e+00,1.713137576797766308e-05
1.103132500000000000e+00,1.735155506411232553e-05
1.110630000000000000e+00,1.757285250776792485e-05
1.118127500000000000e+00,1.779526139038224101e-05
1.125625000000000000e+00,1.801877499067434271e-05
1.133122500000000000e+00,1.824338657510836834e-05
1.140620000000000000e+00,1.846908939835095433e-05
1.148117500000000000e+00,1.869587670373255294e-05
1.155615000000000000e+00,1.892374172369938877e-05
1.163112500000000000e+00,1.915267768026930815e-05
1.170610000000000000e+00,1.938267778548138082e-05
1.178107500000000000e+00,1.961373524184669093e-05
1.185605000000000000e+00,1.984584324279179597e-05
1.193102500000000000e+00,2.007899497310464904e-05
1.200600000000000000e+00,2.031318360937598428e-05
1.208097500000000000e+00,2.054840232043732100e-05
1.215595000000000000e+00,2.078464426779761258e-05
1.223092500000000000e+00,2.102190260607846890e-05
1.230590000000000000e+00,2.126017048344237898e-05
1.238087500000000000e+00,2.149944104202556510e-05
1.245585000000000000e+00,2.173970741835911402e-05
1.253082500000000000e+00,2.198096274379642036e-05
1.260580000000000000e+00,2.222320014493080767e-05
1.268077500000000000e+00,2.246641274401450821e-05
1.275575000000000000e+00,2.271059365937289933e-05
1.283072500000000000e+00,2.295573600581761499e-05
1.290570000000000000e+00,2.320183289505417870e-05
1.298067500000000000e+00,2.344887743608992098e-05
1.305565000000000000e+00,2.369686273563598801e-05
1.313062500000000000e+00,2.394578189850857437e-05
1.320560000000000000e+00,2.419562802802685908e-05
1.328057500000000000e+00,2.444639422640669299e-05
1.335555000000000000e+00,2.469807359515224988e-05
1.343052500000000000e+00,2.495065923544497041e-05
1.350550000000000000e+00,2.520414424852953134e-05
1.358047500000000000e+00,2.545852173609428190e-05
1.365545000000000000e+00,2.571378480065368254e-05
1.373042500000000000e+00,2.596992654592142298e-05
1.380540000000000000e+00,2.622694007718520375e-05
1.388037500000000000e+00,2.648481850167754692e-05
1.395535000000000000e+00,2.674355492894183630e-05
1.403032500000000000e+00,2.700314247119415972e-05
1.410530000000000000e+00,2.726357424368775688e-05
1.418027500000000000e+00,2.752484336506763808e-05
1.425525000000000000e+00,2.778694295772696492e-05
1.433022500000000000e+00,2.804986614815541801e-05
1.440520000000000000e+00,2.831360606728848284e-05
1.448017500000000000e+00,2.857815585085388287e-05
1.455515000000000000e+00,2.884350863971030802e-05
1.463012500000000000e+00,2.910965758018572300e-05
1.470510000000000000e+00,2.937659582441620761e-05
1.478007500000000000e+00,2.964431653067321301e-05
1.485505000000000000e+00,2.991281286369322013e-05
1.493002500000000000e+00,3.018207799500536188e-05
1.500500000000000000e+00,3.045210510325127633e-05
1.507997500000000000e+00,3.072288737450527840e-05
1.515495000000000000e+00,3.099441800258910713e-05
1.522992500000000000e+00,3.126669018938578188e-05
1.530490000000000000e+00,3.153969714514511018e-05
1.537987500000000000e+00,3.181343208879605991e-05
1.545485000000000000e+00,3.208788824824215699e-05
1.552982500000000000e+00,3.236305886066791475e-05
1.560480000000000000e+00,3.263893717282973899e-05
1.567977500000000000e+00,3.291551644135195577e-05
1.575475000000000000e+00,3.319278993301585972e-05
1.582972500000000000e+00,3.347075092504670917e-05
1.590470000000000000e+00,3.374939270539731274e-05
1.597967500000000000e+00,3.402870857302765865e-05
1.605465000000000000e+00,3.430869183818273475e-05
1.612962500000000000e+00,3.458933582266565258e-05
1.620460000000000000e+00,3.487063386011098835e-05
1.627957500000000000e+00,3.515257929624882673e-05
1.635455000000000000e+00,3.543516548917110198e-05
1.642952500000000000e+00,3.571838580959485574e-05
1.650450000000000000e+00,3.600223364111787837e-05
