# Frequency (GHz),Output Power (W)
2.722592500000000000e+00,8.290458600660629532e-05
2.730090000000000000e+00,8.322759220871772797e-05
2.737587500000000000e+00,8.355055649589778247e-05
2.745085000000000000e+00,8.387347687484687688e-05
2.752582500000000000e+00,8.419635137873466679e-05
2.760080000000000000e+00,8.451917806704003057e-05
2.767577500000000000e+00,8.484195502537452067e-05
2.775075000000000000e+00,8.516468036532081742e-05
2.782572500000000000e+00,8.548735222424535185e-05
2.790070000000000000e+00,8.580996876514331896e-05
2.797567500000000000e+00,8.613252817643926584e-05
2.805065000000000000e+00,8.645502867182633161e-05
2.812562500000000000e+00,8.677746849007202611e-05
2.820060000000000000e+00,8.709984589484321262e-05
2.827557500000000000e+00,8.742215917451710426e-05
2.835055000000000000e+00,8.774440664199320919e-05
2.842552500000000000e+00,8.806658663450649539e-05
2.850050000000000000e+00,8.838869751343174646e-05
2.857547500000000000e+00,8.871073766409355511e-05
2.865045000000000000e+00,8.903270549556132772e-05
2.872542500000000000e+00,8.935459944046375016e-05
2.880040000000000000e+00,8.967641795477315357e-05
2.887537500000000000e+00,8.999815951761695808e-05
2.895035000000000000e+00,9.031982263105429998e-05
2.902532500000000000e+00,9.064140581988643195e-05
2.910030000000000000e+00,9.096290763143066683e-05
2.917527500000000000e+00,9.128432663531176364e-05
2.925025000000000000e+00,9.160566142325010154e-05
2.932522500000000000e+00,9.192691060884115308e-05
2.940020000000000000e+00,9.224807282732892669e-05
2.947517500000000000e+00,9.256914673539031878e-05
2.955015000000000000e+00,9.289013101090360953e-05
2.962512500000000000e+00,9.321102435271877461e-05
2.970010000000000000e+00,9.353182548042896253e-05
2.977507500000000000e+00,9.385253313413197010e-05
2.985005000000000000e+00,9.417314607419831807e-05
2.992502500000000000e+00,9.449366308102334828e-05
3.000000000000000000e+00,9.481408295478642239e-05
