Frequency (GHz),kr_large,kr_small
0.742830,0.093347,0.023337
0.754845,0.094857,0.023714
0.767054,0.096391,0.024098
0.779461,0.097950,0.024487
0.792068,0.099534,0.024884
0.804879,0.101144,0.025286
0.817897,0.102780,0.025695
0.831126,0.104442,0.026111
0.844569,0.106132,0.026533
0.858229,0.107848,0.026962
0.872110,0.109593,0.027398
0.886216,0.111365,0.027841
0.900550,0.113166,0.028292
0.915116,0.114997,0.028749
0.929917,0.116857,0.029214
0.944958,0.118747,0.029687
0.960242,0.120668,0.030167
0.975773,0.122619,0.030655
0.991555,0.124603,0.031151
1.007593,0.126618,0.031654
1.023890,0.128666,0.032166
1.040451,0.130747,0.032687
1.057279,0.132862,0.033215
1.074380,0.135011,0.033753
1.091757,0.137194,0.034299
1.109415,0.139413,0.034853
1.127359,0.141668,0.035417
1.145593,0.143960,0.035990
1.164123,0.146288,0.036572
1.182951,0.148654,0.037164
1.202085,0.151058,0.037765
1.221527,0.153502,0.038375
1.241285,0.155984,0.038996
1.261362,0.158507,0.039627
1.281763,0.161071,0.040268
1.302495,0.163676,0.040919
1.323562,0.166324,0.041581
1.344969,0.169014,0.042253
1.366723,0.171747,0.042937
1.388829,0.174525,0.043631
1.411292,0.177348,0.044337
1.434118,0.180217,0.045054
1.457314,0.183132,0.045783
1.480885,0.186094,0.046523
1.504837,0.189103,0.047276
1.529177,0.192162,0.048041
1.553910,0.195270,0.048818
1.579044,0.198428,0.049607
1.604583,0.201638,0.050409
1.630536,0.204899,0.051225
1.656909,0.208213,0.052053
1.683708,0.211581,0.052895
1.710941,0.215003,0.053751
1.738614,0.218481,0.054620
1.766735,0.222014,0.055504
1.795310,0.225605,0.056401
1.824348,0.229254,0.057314
1.853856,0.232962,0.058241
1.883840,0.236730,0.059183
1.914310,0.240559,0.060140
1.945272,0.244450,0.061113
1.976736,0.248404,0.062101
2.008708,0.252422,0.063105
2.041197,0.256504,0.064126
2.074212,0.260653,0.065163
2.107761,0.264869,0.066217
2.141852,0.269153,0.067288
2.176495,0.273506,0.068377
2.211698,0.277930,0.069483
2.247471,0.282425,0.070606
2.283822,0.286994,0.071748
2.320761,0.291635,0.072909
2.358297,0.296352,0.074088
2.396441,0.301146,0.075286
2.435202,0.306016,0.076504
2.474589,0.310966,0.077742
2.514614,0.315996,0.078999
2.555286,0.321107,0.080277
2.596615,0.326300,0.081575
2.638614,0.331578,0.082894
2.681291,0.336941,0.084235
2.724659,0.342391,0.085598
2.768728,0.347929,0.086982
2.813510,0.353556,0.088389
2.859017,0.359275,0.089819
2.905259,0.365086,0.091271
2.952250,0.370991,0.092748
3.000000,0.376991,0.094248
